theta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  0.00      0.0025045      0.0215382      0.0001523     -0.0025045      0.0001507
  0.03      0.0024049      0.0217712      0.0001522     -0.0017219      0.0001510
  0.06      0.0020903      0.0212107      0.0001524     -0.0007600      0.0001513
  0.09      0.0024803      0.0214970      0.0001508     -0.0004593      0.0001507
  0.13      0.0021137      0.0215705      0.0001509      0.0005944      0.0001505
  0.16      0.0018955      0.0210029      0.0001516      0.0014074      0.0001516
  0.19      0.0018665      0.0210416      0.0001520      0.0021138      0.0001506
  0.22      0.0014764      0.0200075      0.0001514      0.0029594      0.0001513
  0.25      0.0019533      0.0206435      0.0001533      0.0032836      0.0001515
  0.28      0.0023809      0.0197649      0.0001518      0.0032629      0.0001501
  0.31      0.0017258      0.0198141      0.0001516      0.0046233      0.0001514
  0.35      0.0015977      0.0197217      0.0001518      0.0054022      0.0001521
  0.38      0.0018670      0.0193117      0.0001503      0.0056380      0.0001505
  0.41      0.0021724      0.0192279      0.0001509      0.0059535      0.0001510
  0.44      0.0016458      0.0186665      0.0001518      0.0069648      0.0001502
  0.47      0.0012520      0.0183870      0.0001517      0.0079635      0.0001500
  0.50      0.0005971      0.0179118      0.0001515      0.0091657      0.0001515
  0.53      0.0007983      0.0172990      0.0001522      0.0093031      0.0001519
  0.57      0.0008087      0.0169482      0.0001513      0.0097979      0.0001507
  0.60      0.0011380      0.0168822      0.0001515      0.0100972      0.0001513
  0.63      0.0009884      0.0161266      0.0001507      0.0104949      0.0001519
  0.66      0.0012640      0.0164735      0.0001514      0.0111785      0.0001519
  0.69      0.0010134      0.0151840      0.0001514      0.0112460      0.0001516
  0.72      0.0004139      0.0148198      0.0001510      0.0125137      0.0001503
  0.75     -0.0002440      0.0138170      0.0001522      0.0133097      0.0001515
  0.79      0.0002179      0.0137825      0.0001512      0.0134744      0.0001512
  0.82     -0.0003042      0.0130860      0.0001516      0.0143795      0.0001521
  0.85      0.0002149      0.0127470      0.0001526      0.0141337      0.0001531
  0.88     -0.0006647      0.0115364      0.0001516      0.0149878      0.0001518
  0.91     -0.0004299      0.0118029      0.0001523      0.0159178      0.0001529
  0.94     -0.0007688      0.0109813      0.0001521      0.0164225      0.0001504
  0.97     -0.0007379      0.0102115      0.0001526      0.0163384      0.0001513
  1.01     -0.0009713      0.0096103      0.0001523      0.0169560      0.0001513
  1.04     -0.0011322      0.0087979      0.0001513      0.0171006      0.0001511
  1.07     -0.0010755      0.0086700      0.0001526      0.0180031      0.0001520
  1.10     -0.0008317      0.0082834      0.0001515      0.0180892      0.0001517
  1.13     -0.0012007      0.0073871      0.0001517      0.0185183      0.0001511
  1.16     -0.0012926      0.0070070      0.0001515      0.0194469      0.0001513
  1.19     -0.0014605      0.0058618      0.0001516      0.0187725      0.0001508
  1.23     -0.0014972      0.0052350      0.0001510      0.0189608      0.0001520
  1.26     -0.0020886      0.0043248      0.0001525      0.0200694      0.0001502
  1.29     -0.0021768      0.0034103      0.0001516      0.0195409      0.0001514
  1.32     -0.0022046      0.0029645      0.0001520      0.0204110      0.0001509
  1.35     -0.0019385      0.0024207      0.0001515      0.0197158      0.0001517
  1.35     -0.0022362      0.0022884      0.0001521      0.0204061      0.0001508
  1.38     -0.0019094      0.0020124      0.0001520      0.0206416      0.0001512
  1.41     -0.0026234      0.0007163      0.0001526      0.0211737      0.0001512
