theta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  0.00      0.0015565      0.1706297      0.0001286     -0.0015565      0.0001300
  0.03      0.0018163      0.1705452      0.0001281      0.0035424      0.0001301
  0.06      0.0021976      0.1702455      0.0001282      0.0085090      0.0001308
  0.09      0.0018714      0.1698165      0.0001278      0.0141726      0.0001300
  0.13      0.0019257      0.1687408      0.0001284      0.0193759      0.0001305
  0.16      0.0017375      0.1686293      0.0001291      0.0249491      0.0001305
  0.19      0.0022718      0.1672538      0.0001286      0.0295926      0.0001299
  0.22      0.0019732      0.1663186      0.0001276      0.0351547      0.0001303
  0.25      0.0021347      0.1650363      0.0001284      0.0401702      0.0001298
  0.28      0.0020398      0.1633538      0.0001279      0.0453345      0.0001308
  0.31      0.0018852      0.1619452      0.0001288      0.0506369      0.0001312
  0.35      0.0022421      0.1597414      0.0001282      0.0551275      0.0001301
  0.38      0.0017624      0.1579296      0.0001286      0.0606332      0.0001302
  0.41      0.0017925      0.1559134      0.0001280      0.0655166      0.0001301
  0.44      0.0011489      0.1530844      0.0001289      0.0707663      0.0001310
  0.47      0.0017411      0.1510590      0.0001285      0.0750143      0.0001298
  0.50      0.0012536      0.1487809      0.0001293      0.0803624      0.0001296
  0.53      0.0016655      0.1459375      0.0001292      0.0843722      0.0001296
  0.57      0.0014648      0.1428847      0.0001289      0.0889425      0.0001297
  0.60      0.0011674      0.1397764      0.0001282      0.0935804      0.0001303
  0.63      0.0009693      0.1365470      0.0001294      0.0980090      0.0001302
  0.66      0.0011252      0.1338023      0.0001296      0.1023636      0.0001304
  0.69      0.0001305      0.1297642      0.0001293      0.1071809      0.0001299
  0.72      0.0001607      0.1259498      0.0001289      0.1108254      0.0001295
  0.75      0.0002317      0.1225036      0.0001293      0.1147206      0.0001294
  0.79      0.0001518      0.1189209      0.0001293      0.1187062      0.0001293
  0.82      0.0000884      0.1149645      0.0001288      0.1222957      0.0001294
  0.85     -0.0005350      0.1109032      0.0001296      0.1266041      0.0001296
  0.88     -0.0005088      0.1068136      0.0001296      0.1299136      0.0001283
  0.91     -0.0009993      0.1023060      0.0001295      0.1335226      0.0001286
  0.94     -0.0009803      0.0981505      0.0001299      0.1367604      0.0001292
  0.97     -0.0008143      0.0938937      0.0001289      0.1396091      0.0001293
  1.01     -0.0014693      0.0891756      0.0001303      0.1432604      0.0001287
  1.04     -0.0015277      0.0844824      0.0001302      0.1458531      0.0001293
  1.07     -0.0016909      0.0798579      0.0001302      0.1487710      0.0001290
  1.10     -0.0013738      0.0754656      0.0001298      0.1511358      0.0001292
  1.13     -0.0016647      0.0704426      0.0001301      0.1536079      0.0001289
  1.16     -0.0022416      0.0650721      0.0001298      0.1560171      0.0001281
  1.19     -0.0016738      0.0608101      0.0001305      0.1581357      0.0001282
  1.23     -0.0019705      0.0555628      0.0001297      0.1601488      0.0001287
  1.26     -0.0021107      0.0502365      0.0001304      0.1614426      0.0001287
  1.29     -0.0021971      0.0451739      0.0001303      0.1633647      0.0001283
  1.32     -0.0018032      0.0404110      0.0001304      0.1646413      0.0001293
  1.35     -0.0022458      0.0348457      0.0001302      0.1661857      0.0001281
  1.38     -0.0020571      0.0297233      0.0001300      0.1667931      0.0001284
  1.41     -0.0019599      0.0246238      0.0001310      0.1679967      0.0001277
  1.45     -0.0017959      0.0195220      0.0001298      0.1688615      0.0001278
  1.48     -0.0018483      0.0142304      0.0001300      0.1701821      0.0001277
  1.51     -0.0018690      0.0088500      0.0001306      0.1704333      0.0001283
  1.54     -0.0017421      0.0036158      0.0001306      0.1705168      0.0001282
  1.57     -0.0018203     -0.0018203      0.0001310      0.1708322      0.0001280
  1.60     -0.0017096     -0.0070870      0.0001309      0.1710860      0.0001274
  1.63     -0.0013940     -0.0121334      0.0001297      0.1706531      0.0001277
  1.67     -0.0015447     -0.0176164      0.0001300      0.1699474      0.0001280
  1.70     -0.0012018     -0.0226069      0.0001306      0.1693631      0.0001285
  1.73     -0.0010548     -0.0278167      0.0001300      0.1688850      0.0001281
  1.76     -0.0013008     -0.0333049      0.0001307      0.1676487      0.0001284
  1.79     -0.0011360     -0.0384639      0.0001299      0.1668699      0.0001281
  1.82     -0.0006176     -0.0431626      0.0001302      0.1656239      0.0001282
  1.85     -0.0010975     -0.0487821      0.0001300      0.1639754      0.0001275
  1.88     -0.0007717     -0.0537474      0.0001299      0.1629203      0.0001283
  1.92     -0.0008860     -0.0588426      0.0001296      0.1608260      0.0001287
  1.95     -0.0005305     -0.0635700      0.0001301      0.1591186      0.0001278
  1.98     -0.0008268     -0.0687505      0.0001302      0.1567910      0.0001288
  2.01     -0.0007338     -0.0735717      0.0001300      0.1546245      0.0001282
  2.04     -0.0001043     -0.0777290      0.0001298      0.1523219      0.0001282
  2.07     -0.0004582     -0.0828187      0.0001304      0.1496954      0.0001283
  2.10     -0.0001686     -0.0875429      0.0001296      0.1476956      0.0001291
  2.14     -0.0001804     -0.0919171      0.0001300      0.1445015      0.0001292
  2.17     -0.0005382     -0.0966230      0.0001297      0.1412190      0.0001287
  2.20      0.0001124     -0.1006586      0.0001291      0.1387359      0.0001292
  2.23     -0.0001441     -0.1050521      0.0001296      0.1351973      0.0001294
  2.26     -0.0001410     -0.1095215      0.0001292      0.1321676      0.0001282
  2.29     -0.0004203     -0.1137306      0.0001295      0.1283664      0.0001290
  2.32      0.0002355     -0.1169222      0.0001295      0.1248534      0.0001293
  2.36      0.0003295     -0.1211073      0.0001298      0.1215732      0.0001284
  2.39      0.0000400     -0.1248435      0.0001290      0.1172907      0.0001296
  2.42      0.0000394     -0.1281249      0.0001296      0.1130097      0.0001292
  2.45      0.0001918     -0.1315069      0.0001290      0.1090408      0.0001300
  2.48     -0.0000039     -0.1355982      0.0001301      0.1051758      0.0001303
  2.51      0.0000909     -0.1388649      0.0001284      0.1010036      0.0001294
  2.54      0.0000800     -0.1418536      0.0001287      0.0965003      0.0001302
  2.58     -0.0001424     -0.1448554      0.0001289      0.0917593      0.0001299
  2.61      0.0001354     -0.1473626      0.0001288      0.0873073      0.0001294
  2.64      0.0001560     -0.1501789      0.0001288      0.0827396      0.0001297
  2.67      0.0000889     -0.1528439      0.0001287      0.0779776      0.0001305
  2.70      0.0001821     -0.1547850      0.0001286      0.0730376      0.0001302
  2.73      0.0004447     -0.1570631      0.0001284      0.0684519      0.0001300
  2.76      0.0010169     -0.1590643      0.0001280      0.0640717      0.0001305
  2.80      0.0006892     -0.1611937      0.0001287      0.0587658      0.0001300
  2.83      0.0008418     -0.1626228      0.0001284      0.0537245      0.0001296
  2.86      0.0008012     -0.1641892      0.0001286      0.0485357      0.0001301
  2.89      0.0010003     -0.1655136      0.0001283      0.0435294      0.0001305
  2.92      0.0010493     -0.1667995      0.0001276      0.0383593      0.0001302
  2.95      0.0008007     -0.1676239      0.0001276      0.0327911      0.0001301
  2.98      0.0011565     -0.1686816      0.0001281      0.0278874      0.0001293
  3.02      0.0013703     -0.1691715      0.0001281      0.0227525      0.0001301
  3.05      0.0014115     -0.1698594      0.0001280      0.0174742      0.0001308
  3.08      0.0013533     -0.1700308      0.0001284      0.0120534      0.0001303
  3.11      0.0019565     -0.1706576      0.0001279      0.0073206      0.0001299
  3.14      0.0020189     -0.1705320      0.0001281      0.0020189      0.0001299
----------------------
G=30, K=-60, beta =1/1000
hmag=500, sigle beta cooling
