theta 	 tau 	 mag_planar (x-dirn) 	 mag_perp (z-dirn)
  2.39     -0.0001569     -0.0160931      0.0001338      0.0148971      0.0001343
  2.42      0.0001167     -0.0164442      0.0001338      0.0146532      0.0001336
  2.45     -0.0002817     -0.0170478      0.0001333      0.0137375      0.0001343
  2.48     -0.0000450     -0.0176026      0.0001337      0.0135971      0.0001347
  2.51      0.0000258     -0.0174899      0.0001336      0.0127391      0.0001339
  2.54      0.0004112     -0.0179273      0.0001339      0.0126805      0.0001334
  2.58      0.0001225     -0.0179425      0.0001347      0.0115318      0.0001342
  2.61      0.0002181     -0.0187407      0.0001335      0.0113366      0.0001346
  2.64      0.0003885     -0.0184410      0.0001343      0.0105814      0.0001343
  2.67      0.0002940     -0.0190848      0.0001343      0.0100542      0.0001343
  2.70      0.0001426     -0.0192775      0.0001337      0.0092290      0.0001336
  2.73      0.0006413     -0.0198709      0.0001337      0.0092976      0.0001342
  2.76     -0.0001687     -0.0206767      0.0001342      0.0080050      0.0001340
  2.80      0.0000853     -0.0205883      0.0001343      0.0075030      0.0001341
  2.83      0.0001477     -0.0203069      0.0001344      0.0067534      0.0001336
  2.86      0.0007056     -0.0207291      0.0001340      0.0067571      0.0001341
  2.89      0.0002671     -0.0210032      0.0001343      0.0056685      0.0001341
  2.92      0.0002925     -0.0207224      0.0001340      0.0049317      0.0001334
  2.95      0.0002888     -0.0210104      0.0001342      0.0043019      0.0001339
  2.98      0.0003531     -0.0211534      0.0001344      0.0037079      0.0001345
  3.02      0.0004722     -0.0209607      0.0001343      0.0031239      0.0001345
  3.05      0.0003973     -0.0213697      0.0001344      0.0024191      0.0001340
  3.08      0.0001871     -0.0212264      0.0001337      0.0015229      0.0001341
  3.11      0.0002341     -0.0214741      0.0001341      0.0009091      0.0001343
  3.14      0.0004776     -0.0217154      0.0001343      0.0004776      0.0001346
-----------------------------------------------------------------------------------------
Jvals: 
-60
0 
0
0 
0 
30
0 
30
0
0 
0 
30
0 
-60
0
30
0 
0
0 
30
0
30
0 
0
0 
0 
-60

beta =0.1, hx = 30 cos theta, hy = 30 sin theta, hz=0
