  0.00         -6913473.6937725   4210.4362980
  0.03         -6915428.9469573   4210.0199369
  0.06         -6909972.5041491   4206.8125789
  0.09         -6913666.8852005   4203.2337925
  0.13         -6911536.9102337   4204.8974621
  0.16         -6906756.3527062   4205.6501302
  0.19         -6904454.8986977   4209.6399970
  0.22         -6901111.1774818   4203.7078502
  0.25         -6923714.3065626   4215.6357027
  0.28         -6923824.4450347   4223.7387919
  0.31         -6909774.1088217   4206.2233595
  0.35         -6909708.9426586   4198.5889965
  0.38         -6917577.7954547   4214.2767400
  0.41         -6913976.4478815   4201.9629224
  0.44         -6913220.0421347   4216.7493349
  0.47         -6917924.5110613   4204.6455781
  0.50         -6910939.8972996   4211.4665205
  0.53         -6901460.3246236   4196.2300032
  0.57         -6911203.4412884   4203.6800599
  0.60         -6916072.1468735   4208.8253062
  0.63         -6898904.3690040   4200.0483709
  0.66         -6913245.9206154   4200.2590667
  0.69         -6919911.2489226   4212.1566775
  0.72         -6911704.3916664   4199.4470058
  0.75         -6908192.6208705   4205.9614573
  0.79         -6915499.5940347   4202.3516563
  0.82         -6918095.6335811   4209.4174945
  0.85         -6903826.2072952   4204.3703437
  0.88         -6910597.1844368   4209.8165849
  0.91         -6915182.6137865   4210.3115405
  0.94         -6914658.9750422   4207.8763067
  0.97         -6918683.3277043   4208.3064817
  1.01         -6915320.9597501   4210.4290046
  1.04         -6927236.6739110   4206.0275589
  1.07         -6934135.4205149   4218.3100042
  1.10         -6910081.1910939   4218.3498937
  1.13         -6907410.8693652   4206.8500517
  1.16         -6913716.8306366   4206.4536216
  1.19         -6911663.4979337   4213.5303772
  1.23         -6916778.1384743   4214.2087785
  1.26         -6928750.5512247   4215.5889066
  1.29         -6919996.8175597   4204.8052612
  1.32         -6925241.2875549   4207.7390101
  1.35         -6902102.5581122   4197.9620591
  1.38         -6924387.8341465   4212.4946764
  1.41         -6913549.4411751   4208.7687891
  1.45         -6901479.6784545   4200.6812549
  1.48         -6920382.4964846   4203.6454930
  1.51         -6915248.7935101   4193.9451545
  1.54         -6915290.1775051   4206.9092816
  1.57         -6921096.4772207   4207.3418953
  1.60         -6911300.4820441   4212.9687153
  1.63         -6908254.1804768   4199.6357082
  1.67         -6911280.9718024   4201.2869675
  1.70         -6908540.0583225   4209.2752806
  1.73         -6917072.3169267   4207.6749448
  1.76         -6904127.6735490   4200.4602598
  1.79         -6915756.2309089   4213.3757843
  1.82         -6916527.0527052   4207.6089874
  1.85         -6911085.2035829   4206.7514412
  1.88         -6915178.0059885   4206.2035393
  1.92         -6920214.0063354   4210.8816440
  1.95         -6906922.8768827   4207.4892073
  1.98         -6910277.2250362   4201.8054181
  2.01         -6911874.6069221   4207.7858593
  2.04         -6909096.9012809   4201.3469282
  2.07         -6916449.5993573   4203.5516201
  2.10         -6919725.5394364   4209.4967076
  2.14         -6920592.3874969   4211.6706651
  2.17         -6911064.7339422   4200.0300685
  2.20         -6918154.3359853   4200.0479643
  2.23         -6918167.5885861   4209.4470017
  2.26         -6905587.8667934   4215.6809339
  2.29         -6913133.5068608   4212.4732398
  2.32         -6919051.3838117   4213.3030580
  2.36         -6918250.2825400   4212.4814414
  2.39         -6917412.8909487   4208.6738992
  2.42         -6922708.0829587   4209.2211855
  2.45         -6912467.9934765   4204.2201542
  2.48         -6917815.8038782   4211.4940700
  2.51         -6914355.0143334   4201.7221870
  2.54         -6911844.1708044   4207.9353735
  2.58         -6915624.9755788   4200.7384403
  2.61         -6915862.4452520   4200.9562104
  2.64         -6907236.2078382   4209.2912548
  2.67         -6894486.9424182   4197.3478971
  2.70         -6917988.0523999   4203.3244470
  2.73         -6915674.8359276   4213.0058764
  2.76         -6917442.5127121   4203.9799073
  2.80         -6922980.4788023   4218.1637668
  2.83         -6912947.6058871   4212.3563868
  2.86         -6920067.0551418   4192.9232882
  2.89         -6917229.4643525   4204.3278262
  2.92         -6925905.5485072   4206.4818921
  2.95         -6918025.4223979   4205.1719942
  2.98         -6900818.0551559   4202.6615233
  3.02         -6917355.1690782   4207.4449471
  3.05         -6916025.3363932   4214.4649882
  3.08         -6915496.2406144   4205.9988466
  3.11         -6915324.0033100   4207.6998241
  3.14         -6893309.5313195   4198.6021541
---------------------------------------------------------
-600
0 
0
0 
0 
300
0 
300
0
0 
0 
300
0 
-600
0
300
0 
0
0 
300
0
300
0 
0
0 
0 
-600







xx bond:

J1 = 
K 0 0
0 0 G
0 G 0

yy bond:

J2= 
0 0 G
0 K 0
G 0 0

zz bond:

J3 = 
0 G 0
G 0 0
0 0 K

These three matrices are related to each other by a cyclic permutation. One serious study expects the values of K and G = \Gamma to be K = - 5 meV and \Gamma = +2.5 meV (see http://iopscience.iop.org/article/10.1088/1361-648X/aa8cf5/pdf). (1 meV ) e = k_B T
So the temperature corresponding to 1 meV is:
T = 0.001 e/k_B = 11.6
So K = - 5 meV = -58 K ~ -60 K and \Gamma = 2.5 meV ~ 30 K. 


beta =0.1, hx = 30 cos theta, hy = 30 sin theta, hz=0, beta =1/1000
