theta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  0.00      0.0025045      0.0215382      0.0001523     -0.0025045      0.0001507
  0.03      0.0026786      0.0219554      0.0001520     -0.0019899      0.0001515
  0.06      0.0024180      0.0216741      0.0001521     -0.0010592      0.0001510
  0.09      0.0019528      0.0213041      0.0001512      0.0000523      0.0001508
  0.13      0.0019744      0.0209374      0.0001524      0.0006550      0.0001514
  0.16      0.0028813      0.0212925      0.0001514      0.0004552      0.0001523
  0.19      0.0023040      0.0209294      0.0001509      0.0016469      0.0001507
  0.22      0.0023112      0.0206108      0.0001511      0.0022388      0.0001518
  0.25      0.0020628      0.0207430      0.0001509      0.0031962      0.0001505
  0.28      0.0022025      0.0198780      0.0001514      0.0034815      0.0001517
  0.31      0.0016832      0.0199922      0.0001515      0.0047260      0.0001515
  0.35      0.0018377      0.0190935      0.0001517      0.0049209      0.0001513
  0.38      0.0014156      0.0194429      0.0001519      0.0061755      0.0001508
  0.41      0.0018681      0.0194112      0.0001511      0.0063645      0.0001506
  0.44      0.0007812      0.0179940      0.0001514      0.0076040      0.0001513
  0.47      0.0010858      0.0178683      0.0001512      0.0078858      0.0001510
  0.50      0.0012431      0.0181200      0.0001533      0.0085430      0.0001512
  0.53      0.0017908      0.0177495      0.0001517      0.0084165      0.0001503
  0.57      0.0012939      0.0166730      0.0001513      0.0090486      0.0001500
  0.60      0.0013607      0.0165697      0.0001518      0.0096156      0.0001518
  0.63      0.0005308      0.0160827      0.0001515      0.0110288      0.0001514
  0.66      0.0015794      0.0164410      0.0001513      0.0107540      0.0001534
  0.69      0.0004205      0.0154455      0.0001516      0.0122319      0.0001521
  0.72     -0.0001103      0.0144253      0.0001507      0.0128647      0.0001508
  0.75      0.0003523      0.0141879      0.0001504      0.0128401      0.0001507
  0.79      0.0000800      0.0137980      0.0001516      0.0136848      0.0001513
  0.82      0.0003830      0.0133459      0.0001508      0.0136524      0.0001506
  0.85     -0.0001532      0.0127778      0.0001519      0.0147251      0.0001510
  0.88     -0.0003517      0.0119763      0.0001519      0.0150286      0.0001501
  0.91     -0.0006989      0.0112963      0.0001513      0.0157034      0.0001514
  0.94     -0.0006294      0.0110097      0.0001519      0.0162243      0.0001501
  0.97     -0.0007515      0.0104099      0.0001508      0.0166547      0.0001514
  1.01     -0.0013559      0.0096747      0.0001517      0.0177754      0.0001517
  1.04     -0.0012722      0.0089459      0.0001514      0.0176259      0.0001512
  1.07     -0.0015262      0.0082470      0.0001519      0.0181693      0.0001519
  1.10     -0.0008224      0.0082181      0.0001514      0.0179404      0.0001510
  1.13     -0.0017851      0.0068733      0.0001517      0.0187992      0.0001505
  1.16     -0.0018263      0.0061007      0.0001518      0.0186964      0.0001509
  1.19     -0.0012762      0.0061277      0.0001515      0.0189436      0.0001515
  1.23     -0.0019456      0.0050742      0.0001509      0.0198379      0.0001506
  1.26     -0.0018140      0.0044612      0.0001508      0.0196005      0.0001517
  1.29     -0.0021856      0.0035949      0.0001513      0.0202079      0.0001508
  1.32     -0.0009577      0.0041587      0.0001518      0.0200479      0.0001515
  1.35     -0.0020859      0.0024012      0.0001517      0.0203042      0.0001508
  1.38     -0.0019424      0.0018384      0.0001513      0.0200033      0.0001513
  1.41     -0.0020033      0.0012597      0.0001508      0.0207594      0.0001504
  1.45     -0.0020441      0.0006054      0.0001512      0.0211012      0.0001505
  1.48     -0.0024540     -0.0003780      0.0001502      0.0220775      0.0001509
  1.51     -0.0027727     -0.0014045      0.0001520      0.0218330      0.0001512
  1.54     -0.0016337     -0.0009674      0.0001517      0.0212288      0.0001515
  1.57     -0.0020871     -0.0020871      0.0001515      0.0213754      0.0001514
  1.60     -0.0019820     -0.0026769      0.0001525      0.0220793      0.0001505
  1.63     -0.0022303     -0.0036082      0.0001517      0.0218321      0.0001521
  1.67     -0.0018503     -0.0038889      0.0001509      0.0214791      0.0001513
  1.70     -0.0020045     -0.0047014      0.0001525      0.0212216      0.0001526
  1.73     -0.0015971     -0.0050389      0.0001513      0.0216049      0.0001509
  1.76     -0.0027527     -0.0068985      0.0001519      0.0214725      0.0001513
  1.79     -0.0019166     -0.0067547      0.0001513      0.0214330      0.0001520
  1.82     -0.0016712     -0.0072886      0.0001518      0.0216670      0.0001529
  1.85     -0.0024744     -0.0087090      0.0001518      0.0211074      0.0001506
  1.88     -0.0017659     -0.0089009      0.0001522      0.0216796      0.0001502
  1.92     -0.0022455     -0.0098622      0.0001506      0.0207642      0.0001511
  1.95     -0.0018308     -0.0101748      0.0001527      0.0207253      0.0001513
  1.98     -0.0022615     -0.0110767      0.0001510      0.0199023      0.0001508
  2.01     -0.0015824     -0.0113516      0.0001522      0.0204069      0.0001509
  2.04     -0.0013814     -0.0115812      0.0001512      0.0196865      0.0001517
