heta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  2.73      0.0655482     -0.8736559      0.0000145      0.4494870      0.0000280
  2.76      0.0666330     -0.8867609      0.0000138      0.4227591      0.0000286
  2.80      0.0668702     -0.8993192      0.0000130      0.3948468      0.0000288
  2.83      0.0672645     -0.9109296      0.0000123      0.3667050      0.0000293
  2.86      0.0669415     -0.9219129      0.0000115      0.3375499      0.0000297
  2.89      0.0667777     -0.9320701      0.0000106      0.3082586      0.0000304
  2.92      0.0662085     -0.9412020      0.0000099      0.2782259      0.0000313
  2.95      0.0660821     -0.9494786      0.0000089      0.2483964      0.0000307
  2.98      0.0645246     -0.9570629      0.0000081      0.2169128      0.0000304
  3.02      0.0641146     -0.9631965      0.0000073      0.1863042      0.0000311
  3.05      0.0626981     -0.9686099      0.0000067      0.1545382      0.0000324
  3.08      0.0607242     -0.9731219      0.0000059      0.1220679      0.0000311
  3.11      0.0595815     -0.9763241      0.0000054      0.0902932      0.0000325
  3.14      0.0577622     -0.9785764      0.0000049      0.0577622      0.0000327
------------------------------------------------------------------------------------
hx = 500 cos theta, hy=500 sin theta, hz=0, beta =0.001

-60
0 
0
0 
0 
30
0 
30
0
0 
0 
30
0 
-60
0
30
0 
0
0 
30
0
30
0 
0
0 
0 
-60

