site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000  -0.2344967   0.9261602  -0.2953619
  2   0.8660254  -1.5000000  -0.2753491   0.9496338  -0.1495946
  3   2.5980762  -0.5000000  -0.4465444   0.8939890   0.0371720
  4   2.5980762  -1.5000000  -0.3793504   0.9241889  -0.0443645
  5   4.3301270  -0.5000000  -0.4760424   0.8763438   0.0735201
  6   4.3301270  -1.5000000  -0.4226756   0.8977509  -0.1240508
  7   6.0621778  -0.5000000  -0.4940642   0.8562832  -0.1505978
  8   6.0621778  -1.5000000  -0.3350626   0.9214324  -0.1967114
  9   7.7942286  -0.5000000  -0.3514323   0.9310905  -0.0978047
 10   7.7942286  -1.5000000  -0.2808335   0.9321325  -0.2286079
 11   9.5262794  -0.5000000  -0.3816496   0.9224017  -0.0593191
 12   9.5262794  -1.5000000  -0.4109876   0.9051016  -0.1089965
 13  11.2583302  -0.5000000  -0.3666684   0.9292120  -0.0460370
 14  11.2583302  -1.5000000  -0.3185440   0.9427393  -0.0988550
 15  12.9903811  -0.5000000  -0.3132833   0.9417681  -0.1221738
 16  12.9903811  -1.5000000  -0.4507628   0.8690492  -0.2038784
 17  14.7224319  -0.5000000  -0.3165952   0.9423805  -0.1081041
 18  14.7224319  -1.5000000  -0.4045870   0.8884964  -0.2165259
 19  16.4544827  -0.5000000  -0.2019194   0.9791596  -0.0217955
 20  -0.8660254  -1.5000000  -0.2821705   0.9576455  -0.0574008
 21  -0.0000000  -2.0000000  -0.3816657   0.9222594   0.0613907
 22  -0.0000000  -3.0000000  -0.3754243   0.9267013   0.0167715
 23   1.7320508  -2.0000000  -0.4388174   0.8969571  -0.0539193
 24   1.7320508  -3.0000000  -0.4359893   0.8970690  -0.0719758
 25   3.4641016  -2.0000000  -0.3444858   0.9383241  -0.0296201
 26   3.4641016  -3.0000000  -0.3699266   0.9199626  -0.1297043
 27   5.1961524  -2.0000000  -0.3927457   0.9186861  -0.0420307
 28   5.1961524  -3.0000000  -0.4119271   0.9085022  -0.0702840
 29   6.9282032  -2.0000000  -0.3187779   0.9474670   0.0262095
 30   6.9282032  -3.0000000  -0.3626751   0.9309455  -0.0425114
 31   8.6602540  -2.0000000  -0.3781512   0.9257419  -0.0018990
 32   8.6602540  -3.0000000  -0.3551375   0.9117601  -0.2063270
 33  10.3923048  -2.0000000  -0.4336414   0.8984540   0.0688148
 34  10.3923048  -3.0000000  -0.4057549   0.9091443  -0.0939127
 35  12.1243557  -2.0000000  -0.3135458   0.9495607   0.0048489
 36  12.1243557  -3.0000000  -0.4125637   0.8967129  -0.1603036
 37  13.8564065  -2.0000000  -0.3898784   0.9163516  -0.0910751
 38  13.8564065  -3.0000000  -0.3648557   0.9165211  -0.1639187
 39  15.5884573  -2.0000000  -0.2020970   0.9786162  -0.0383028
 40  -1.7320508  -3.0000000  -0.2362611   0.9670191  -0.0951567
 41  -0.8660254  -3.5000000  -0.4179297   0.9012529   0.1143586
 42  -0.8660254  -4.5000000  -0.5261587   0.8356963  -0.1573809
 43   0.8660254  -3.5000000  -0.3226147   0.9455226  -0.0436666
