site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000   0.9471346  -0.2106315  -0.2420133
  2   0.8660254  -1.5000000   0.9305906  -0.2231808  -0.2901576
  3   2.5980762  -0.5000000   0.9871329  -0.1538331   0.0436361
  4   2.5980762  -1.5000000   0.9146354  -0.3866339  -0.1181369
  5   4.3301270  -0.5000000   0.9879428  -0.1309561  -0.0825807
  6   4.3301270  -1.5000000   0.9047560  -0.2928889  -0.3092452
  7   6.0621778  -0.5000000   0.9905718  -0.1043964  -0.0887070
  8   6.0621778  -1.5000000   0.9609580  -0.0871645  -0.2626063
  9   7.7942286  -0.5000000   0.9439484  -0.3292163  -0.0240419
 10   7.7942286  -1.5000000   0.9250873  -0.3605169  -0.1193356
 11   9.5262794  -0.5000000   0.8930620  -0.4259523   0.1449304
 12   9.5262794  -1.5000000   0.9398891  -0.3373021  -0.0532523
 13  11.2583302  -0.5000000   0.9769464  -0.1370415  -0.1636928
 14  11.2583302  -1.5000000   0.9134956  -0.2762905  -0.2986459
 15  12.9903811  -0.5000000   0.9577623  -0.2843587   0.0427954
 16  12.9903811  -1.5000000   0.8783389  -0.4386468  -0.1900258
 17  14.7224319  -0.5000000   0.9033540  -0.4270466   0.0397830
 18  14.7224319  -1.5000000   0.8883453  -0.4545783  -0.0648168
 19  16.4544827  -0.5000000   0.9565431  -0.2880752  -0.0451434
 20  -0.8660254  -1.5000000   0.9362017  -0.2943270  -0.1920888
 21  -0.0000000  -2.0000000   0.9479671  -0.3149239  -0.0467044
 22  -0.0000000  -3.0000000   0.9686532  -0.2262901  -0.1024876
 23   1.7320508  -2.0000000   0.9337334  -0.3399103  -0.1122630
 24   1.7320508  -3.0000000   0.9468530  -0.2616166  -0.1871530
 25   3.4641016  -2.0000000   0.9354118  -0.3437111  -0.0828695
 26   3.4641016  -3.0000000   0.8538932  -0.4853845  -0.1877985
 27   5.1961524  -2.0000000   0.9813162  -0.0901811  -0.1699584
 28   5.1961524  -3.0000000   0.9099045  -0.3262150  -0.2562374
 29   6.9282032  -2.0000000   0.8765533  -0.4258415  -0.2243062
 30   6.9282032  -3.0000000   0.8851235  -0.4146691  -0.2112012
 31   8.6602540  -2.0000000   0.9354362  -0.3498304  -0.0507726
 32   8.6602540  -3.0000000   0.8662980  -0.4721778  -0.1630209
 33  10.3923048  -2.0000000   0.9525422  -0.2817085   0.1153412
 34  10.3923048  -3.0000000   0.9046620  -0.3957613  -0.1579863
 35  12.1243557  -2.0000000   0.8881929  -0.4483664  -0.1004041
 36  12.1243557  -3.0000000   0.8968518  -0.3937533  -0.2015321
 37  13.8564065  -2.0000000   0.9291098  -0.3621237   0.0749755
 38  13.8564065  -3.0000000   0.9020092  -0.3944931   0.1753702
 39  15.5884573  -2.0000000   0.9412929  -0.2556869   0.2204357
 40  -1.7320508  -3.0000000   0.8945567  -0.4438713  -0.0524072
 41  -0.8660254  -3.5000000   0.9283535  -0.3716517   0.0058987
 42  -0.8660254  -4.5000000   0.9905884  -0.1339758  -0.0280195
 43   0.8660254  -3.5000000   0.8970917  -0.4222124  -0.1302429
 44   0.8660254  -4.5000000   0.9853603  -0.1160988  -0.1248445
 45   2.5980762  -3.5000000   0.9546264  -0.2668473  -0.1322156
 46   2.5980762  -4.5000000   0.9393591  -0.2525590  -0.2319878
 47   4.3301270  -3.5000000   0.9169553  -0.3975346   0.0340471
 48   4.3301270  -4.5000000   0.8318106  -0.5265804  -0.1755113
 49   6.0621778  -3.5000000   0.8499281  -0.3989606  -0.3441694
 50   6.0621778  -4.5000000   0.9784896  -0.1750676  -0.1091305
 51   7.7942286  -3.5000000   0.9265761  -0.3656258  -0.0881734
 52   7.7942286  -4.5000000   0.9893525  -0.1335491  -0.0578470
 53   9.5262794  -3.5000000   0.9746350  -0.2233687  -0.0138956
 54   9.5262794  -4.5000000   0.9711706  -0.1827463  -0.1530731
 55  11.2583302  -3.5000000   0.9359764  -0.3400839  -0.0910552
 56  11.2583302  -4.5000000   0.9530663  -0.1248549  -0.2758187
 57  12.9903811  -3.5000000   0.8779359  -0.4660575  -0.1096308
 58  12.9903811  -4.5000000   0.9533715  -0.2109304  -0.2158497
 59  14.7224319  -3.5000000   0.9393006  -0.2176828   0.2651953
 60  -2.5980762  -4.5000000   0.9041498  -0.4264208  -0.0260452
 61  -1.7320508  -5.0000000   0.9942720  -0.1067332  -0.0055942
 62  -1.7320508  -6.0000000   0.9024592  -0.4025488  -0.1533681
 63  -0.0000000  -5.0000000   0.9642582  -0.2042047  -0.1688390
 64  -0.0000000  -6.0000000   0.8719978  -0.4155960  -0.2586499
 65   1.7320508  -5.0000000   0.9516768  -0.3056901  -0.0294085
 66   1.7320508  -6.0000000   0.9456480  -0.2564600  -0.1999453
 67   3.4641016  -5.0000000   0.9346172  -0.3262761   0.1415436
 68   3.4641016  -6.0000000   0.8605128  -0.4921772  -0.1314512
 69   5.1961524  -5.0000000   0.9685490  -0.1852580  -0.1661091
 70   5.1961524  -6.0000000   0.9089762  -0.3879989  -0.1523782
 71   6.9282032  -5.0000000   0.9875655  -0.1516370  -0.0414805
 72   6.9282032  -6.0000000   0.9257412  -0.3603791  -0.1145868
 73   8.6602540  -5.0000000   0.9644247  -0.2313343  -0.1279435
 74   8.6602540  -6.0000000   0.9254803  -0.3774614   0.0317653
 75  10.3923048  -5.0000000   0.9662896  -0.1783574  -0.1856692
 76  10.3923048  -6.0000000   0.9466385  -0.2437523  -0.2108564
 77  12.1243557  -5.0000000   0.9751209  -0.1820921  -0.1264191
 78  12.1243557  -6.0000000   0.9170722  -0.3256339  -0.2300895
 79  13.8564065  -5.0000000   0.8997246  -0.4364579  -0.0003779
 80  -3.4641016  -6.0000000   0.9701556  -0.2146310  -0.1128342
 81  -2.5980762  -6.5000000   0.9395000  -0.3374798  -0.0587116
 82  -2.5980762  -7.5000000   0.9636647  -0.2652857   0.0312074
 83  -0.8660254  -6.5000000   0.9274109  -0.3664868  -0.0748096
 84  -0.8660254  -7.5000000   0.8772185  -0.4717218  -0.0892534
 85   0.8660254  -6.5000000   0.8931482  -0.4243658  -0.1489968
 86   0.8660254  -7.5000000   0.9409668  -0.3179563  -0.1161256
 87   2.5980762  -6.5000000   0.8907145  -0.4400580   0.1139147
 88   2.5980762  -7.5000000   0.8820050  -0.4711174  -0.0107550
 89   4.3301270  -6.5000000   0.9059826  -0.3792901  -0.1879749
 90   4.3301270  -7.5000000   0.8731556  -0.3964902  -0.2835399
 91   6.0621778  -6.5000000   0.9723634  -0.2287187  -0.0468741
 92   6.0621778  -7.5000000   0.9548709  -0.2570533  -0.1488124
 93   7.7942286  -6.5000000   0.9524841  -0.2991838  -0.0571234
 94   7.7942286  -7.5000000   0.9335262  -0.2581115  -0.2488117
 95   9.5262794  -6.5000000   0.9879576  -0.0121837  -0.1542441
 96   9.5262794  -7.5000000   0.9386467  -0.2204998  -0.2651833
 97  11.2583302  -6.5000000   0.9148688  -0.3891886  -0.1074586
 98  11.2583302  -7.5000000   0.9595807  -0.2785978  -0.0398525
 99  12.9903811  -6.5000000   0.9594666  -0.2671057   0.0898794
100  -4.3301270  -7.5000000   0.9636169  -0.2424553  -0.1125074
101  -3.4641016  -8.0000000   0.9214145  -0.3798982  -0.0816866
102  -3.4641016  -9.0000000   0.9009949  -0.3050334  -0.3084848
103  -1.7320508  -8.0000000   0.9520513  -0.3059089  -0.0042556
104  -1.7320508  -9.0000000   0.9436171  -0.3295578  -0.0312817
105  -0.0000000  -8.0000000   0.9369005  -0.3495831   0.0030108
106  -0.0000000  -9.0000000   0.8635149  -0.4654493  -0.1941624
107   1.7320508  -8.0000000   0.9157703  -0.3962105  -0.0661964
108   1.7320508  -9.0000000   0.9371838  -0.3299668  -0.1131743
109   3.4641016  -8.0000000   0.9069819  -0.3978250  -0.1382721
110   3.4641016  -9.0000000   0.9464233  -0.2746362  -0.1698759
111   5.1961524  -8.0000000   0.9634173  -0.2494077  -0.0980963
112   5.1961524  -9.0000000   0.8896870  -0.3784693  -0.2553782
113   6.9282032  -8.0000000   0.9570496  -0.2844993  -0.0558232
114   6.9282032  -9.0000000   0.9221064  -0.3560299  -0.1515335
115   8.6602540  -8.0000000   0.9498691  -0.2378798  -0.2028840
116   8.6602540  -9.0000000   0.9071792  -0.2917628  -0.3031507
117  10.3923048  -8.0000000   0.9270334  -0.3299169  -0.1782245
118  10.3923048  -9.0000000   0.9875527  -0.1417720  -0.0681196
119  12.1243557  -8.0000000   0.9375310  -0.3435546   0.0548257
120  -5.1961524  -9.0000000   0.9618924  -0.2554224  -0.0975828
121  -4.3301270  -9.5000000   0.9693535  -0.2432829  -0.0341655
122  -4.3301270 -10.5000000   0.9877333  -0.1560944  -0.0041713
123  -2.5980762  -9.5000000   0.9286593  -0.3248099  -0.1791380
124  -2.5980762 -10.5000000   0.9708268  -0.0223079  -0.2387418
125  -0.8660254  -9.5000000   0.8639677  -0.4686335   0.1842347
126  -0.8660254 -10.5000000   0.9263448  -0.3071583  -0.2180347
127   0.8660254  -9.5000000   0.9605470  -0.2481714  -0.1255409
128   0.8660254 -10.5000000   0.9583102  -0.2070971  -0.1968561
129   2.5980762  -9.5000000   0.9867040  -0.1581405  -0.0375071
130   2.5980762 -10.5000000   0.9477412  -0.2026413  -0.2464207
131   4.3301270  -9.5000000   0.9228405  -0.3846267  -0.0206803
132   4.3301270 -10.5000000   0.9153779  -0.3824247  -0.1258355
133   6.0621778  -9.5000000   0.9685559  -0.2475933  -0.0244327
134   6.0621778 -10.5000000   0.9803932  -0.1524979  -0.1247942
135   7.7942286  -9.5000000   0.9690613  -0.2447701   0.0317452
136   7.7942286 -10.5000000   0.9607247  -0.2450452  -0.1302338
137   9.5262794  -9.5000000   0.9691191  -0.0860672  -0.2310856
138   9.5262794 -10.5000000   0.9503299  -0.0992304  -0.2950023
139  11.2583302  -9.5000000   0.9359058  -0.3433714  -0.0785898
140  -6.0621778 -10.5000000   0.9076708  -0.4123620  -0.0780466
141  -5.1961524 -11.0000000   0.9775148  -0.0861251  -0.1924765
142  -5.1961524 -12.0000000   0.9642668  -0.2107486  -0.1605445
143  -3.4641016 -11.0000000   0.9995881   0.0206518  -0.0199259
144  -3.4641016 -12.0000000   0.9172495  -0.3777218  -0.1264102
145  -1.7320508 -11.0000000   0.9349169  -0.3512778  -0.0503413
146  -1.7320508 -12.0000000   0.9246643  -0.3416950  -0.1680492
147  -0.0000000 -11.0000000   0.9586987  -0.2781591  -0.0593656
148  -0.0000000 -12.0000000   0.9220617  -0.3512419  -0.1625773
149   1.7320508 -11.0000000   0.9040709  -0.4165767  -0.0954972
