site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000   0.7336664  -0.6764797   0.0641006
  2   0.8660254  -1.5000000   0.7566207  -0.6516334  -0.0538434
  3   2.5980762  -0.5000000   0.7252375  -0.6882890  -0.0169923
  4   2.5980762  -1.5000000   0.8143876  -0.5778449  -0.0535547
  5   4.3301270  -0.5000000   0.7589080  -0.6511245   0.0097709
  6   4.3301270  -1.5000000   0.5417849  -0.8227125  -0.1720852
  7   6.0621778  -0.5000000   0.8354018  -0.5348477   0.1266563
  8   6.0621778  -1.5000000   0.7643288  -0.6447634   0.0090391
  9   7.7942286  -0.5000000   0.6633136  -0.7481706  -0.0159952
 10   7.7942286  -1.5000000   0.7202874  -0.6932928   0.0230474
 11   9.5262794  -0.5000000   0.7540357  -0.6561911   0.0290416
 12   9.5262794  -1.5000000   0.8411541  -0.5401684  -0.0260357
 13  11.2583302  -0.5000000   0.7400815  -0.6725171  -0.0000391
 14  11.2583302  -1.5000000   0.7074848  -0.6966508  -0.1189238
 15  12.9903811  -0.5000000   0.7676982  -0.6378030  -0.0620221
 16  12.9903811  -1.5000000   0.7320861  -0.6788242   0.0569882
 17  14.7224319  -0.5000000   0.7238470  -0.6722915   0.1551437
 18  14.7224319  -1.5000000   0.7904873  -0.6103924   0.0505070
 19  16.4544827  -0.5000000   0.7760011  -0.6306661  -0.0090807
 20  -0.8660254  -1.5000000   0.6950056  -0.7161480  -0.0640256
 21  -0.0000000  -2.0000000   0.7408677  -0.6554364  -0.1466908
 22  -0.0000000  -3.0000000   0.7454931  -0.6595914   0.0958080
 23   1.7320508  -2.0000000   0.7871511  -0.6105557   0.0872633
 24   1.7320508  -3.0000000   0.6888593  -0.7147711  -0.1207278
 25   3.4641016  -2.0000000   0.7247063  -0.6884176  -0.0296982
 26   3.4641016  -3.0000000   0.7685719  -0.6186696   0.1629267
 27   5.1961524  -2.0000000   0.7628711  -0.6427971   0.0695667
 28   5.1961524  -3.0000000   0.7222318  -0.6805099  -0.1236425
 29   6.9282032  -2.0000000   0.7302049  -0.6813168  -0.0510711
 30   6.9282032  -3.0000000   0.8514450  -0.5213309  -0.0570571
 31   8.6602540  -2.0000000   0.8424432  -0.5378423  -0.0318596
 32   8.6602540  -3.0000000   0.7632913  -0.6359559  -0.1137824
