energy 	 mx 	 mx-error 	 my 	 my-error 	 mz 	 mz-error 
  0.00             -157.4336152      0.0623423   0.0623423  -0.7036135   0.0000171   0.7013484   0.0000173   0.0019033   0.0000292
  0.03             -157.0478459      0.0590403   0.0590403  -0.6950907   0.0000170   0.7098994   0.0000168  -0.0000320   0.0000274
  0.06             -158.0592389      0.0613935   0.0613935  -0.6863140   0.0000192   0.7183227   0.0000182  -0.0005449   0.0000313
  0.09             -157.5494279      0.0606969   0.0606969  -0.6778051   0.0000158   0.7263557   0.0000148   0.0001509   0.0000296
  0.13             -158.2879371      0.0623120   0.0623120  -0.6689084   0.0000158   0.7346110   0.0000145  -0.0021778   0.0000244
  0.16             -157.4897304      0.0620824   0.0620824  -0.6601232   0.0000179   0.7424039   0.0000161  -0.0013123   0.0000296
  0.19             -156.7458094      0.0608353   0.0608353  -0.6511693   0.0000170   0.7502895   0.0000148  -0.0032052   0.0000259
  0.22             -157.6569369      0.0616158   0.0616158  -0.6415912   0.0000181   0.7583564   0.0000155  -0.0018136   0.0000265
  0.25             -156.9147090      0.0628875   0.0628875  -0.6322031   0.0000189   0.7661498   0.0000156  -0.0040165   0.0000288
  0.28             -156.1667954      0.0629321   0.0629321  -0.6229683   0.0000197   0.7736093   0.0000157  -0.0040666   0.0000334
  0.31             -156.1474423      0.0617294   0.0617294  -0.6112904   0.0000222   0.7828524   0.0000173  -0.0084707   0.0000284
  0.35             -156.6087092      0.0626420   0.0626420  -0.6034045   0.0000183   0.7888072   0.0000141  -0.0085368   0.0000290
  0.38             -154.4292467      0.0599745   0.0599745  -0.5926553   0.0000188   0.7969736   0.0000136  -0.0100817   0.0000281
  0.41             -155.4767377      0.0622103   0.0622103  -0.5819268   0.0000221   0.8045240   0.0000158  -0.0122685   0.0000318
  0.44             -154.3431507      0.0614633   0.0614633  -0.5718546   0.0000197   0.8116783   0.0000136  -0.0130197   0.0000275
  0.47             -154.0669268      0.0611557   0.0611557  -0.5633716   0.0000217   0.8175403   0.0000145  -0.0135174   0.0000301
  0.50             -153.2374009      0.0625248   0.0625248  -0.5489598   0.0000223   0.8271167   0.0000147  -0.0178735   0.0000270
  0.53             -153.5615347      0.0629809   0.0629809  -0.5401120   0.0000206   0.8327927   0.0000130  -0.0173876   0.0000318
  0.57             -152.9800351      0.0626761   0.0626761  -0.5296286   0.0000260   0.8393794   0.0000161  -0.0204895   0.0000304
  0.60             -151.8395999      0.0622350   0.0622350  -0.5170514   0.0000238   0.8469366   0.0000142  -0.0235671   0.0000324
  0.63             -151.8941218      0.0635444   0.0635444  -0.5042094   0.0000206   0.8545204   0.0000119  -0.0274754   0.0000288
  0.66             -151.2837750      0.0643888   0.0643888  -0.4913095   0.0000235   0.8617335   0.0000132  -0.0301501   0.0000305
