site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000  -0.5147734   0.8569964   0.0237799
  2   0.8660254  -1.5000000  -0.6458926   0.7567315  -0.1008968
  3   2.5980762  -0.5000000  -0.6877995   0.7169119   0.1138824
  4   2.5980762  -1.5000000  -0.6966494   0.7078367   0.1168197
  5   4.3301270  -0.5000000  -0.6454703   0.7493503   0.1477913
  6   4.3301270  -1.5000000  -0.5806504   0.8065357   0.1111089
  7   6.0621778  -0.5000000  -0.6308394   0.7643595   0.1334023
  8   6.0621778  -1.5000000  -0.6192127   0.7828125  -0.0614836
  9   7.7942286  -0.5000000  -0.6870953   0.7265329  -0.0070741
 10   7.7942286  -1.5000000  -0.6885006   0.7221735  -0.0665769
 11   9.5262794  -0.5000000  -0.5617849   0.8266366  -0.0327058
 12   9.5262794  -1.5000000  -0.5374479   0.8399179  -0.0754168
 13  11.2583302  -0.5000000  -0.6124617   0.7893115  -0.0433357
 14  11.2583302  -1.5000000  -0.5577177   0.8282496   0.0543464
 15  12.9903811  -0.5000000  -0.6418481   0.7519224   0.1504782
 16  12.9903811  -1.5000000  -0.6518456   0.7501478   0.1112454
 17  14.7224319  -0.5000000  -0.6917006   0.7211583  -0.0384828
 18  14.7224319  -1.5000000  -0.5423707   0.8390691  -0.0423914
 19  16.4544827  -0.5000000  -0.6756317   0.7371780  -0.0095100
 20  -0.8660254  -1.5000000  -0.5358326   0.8426085  -0.0537987
 21  -0.0000000  -2.0000000  -0.5990172   0.7990134  -0.0524979
 22  -0.0000000  -3.0000000  -0.6052393   0.7947869  -0.0447118
 23   1.7320508  -2.0000000  -0.6418377   0.7668343  -0.0030818
 24   1.7320508  -3.0000000  -0.5804335   0.8123419   0.0565473
 25   3.4641016  -2.0000000  -0.5468624   0.8184154   0.1764590
 26   3.4641016  -3.0000000  -0.5951536   0.7969656  -0.1031407
 27   5.1961524  -2.0000000  -0.7117762   0.7020561   0.0221779
 28   5.1961524  -3.0000000  -0.7367960   0.6753597  -0.0319518
 29   6.9282032  -2.0000000  -0.7107569   0.7034193   0.0050914
 30   6.9282032  -3.0000000  -0.6633495   0.7383872  -0.1214567
 31   8.6602540  -2.0000000  -0.6239212   0.7789102   0.0634131
 32   8.6602540  -3.0000000  -0.5433310   0.8333448  -0.1016264
 33  10.3923048  -2.0000000  -0.5760975   0.8132177   0.0823936
 34  10.3923048  -3.0000000  -0.7465912   0.6646978  -0.0279017
 35  12.1243557  -2.0000000  -0.5645753   0.8253518  -0.0070165
 36  12.1243557  -3.0000000  -0.5946335   0.8024390  -0.0500270
 37  13.8564065  -2.0000000  -0.5648138   0.8242233   0.0405143
 38  13.8564065  -3.0000000  -0.6206553   0.7774772  -0.1015684
 39  15.5884573  -2.0000000  -0.5662435   0.8090693  -0.1574016
 40  -1.7320508  -3.0000000  -0.6114638   0.7864882  -0.0868814
 41  -0.8660254  -3.5000000  -0.6916726   0.7221089   0.0121540
 42  -0.8660254  -4.5000000  -0.5614631   0.8237100   0.0791264
 43   0.8660254  -3.5000000  -0.6091704   0.7913115   0.0523214
 44   0.8660254  -4.5000000  -0.6082924   0.7932405   0.0273826
 45   2.5980762  -3.5000000  -0.6219866   0.7828926   0.0145517
 46   2.5980762  -4.5000000  -0.6134979   0.7892952  -0.0251694
 47   4.3301270  -3.5000000  -0.6580972   0.7483925  -0.0825633
 48   4.3301270  -4.5000000  -0.6542896   0.7533710  -0.0658570
 49   6.0621778  -3.5000000  -0.5107397   0.8567021   0.0721566
 50   6.0621778  -4.5000000  -0.5150996   0.8537461  -0.0760917
 51   7.7942286  -3.5000000  -0.5345347   0.8447732   0.0251167
 52   7.7942286  -4.5000000  -0.6323580   0.7744064  -0.0204495
 53   9.5262794  -3.5000000  -0.7269386   0.6780802   0.1084781
 54   9.5262794  -4.5000000  -0.4509082   0.8918579   0.0356547
 55  11.2583302  -3.5000000  -0.4503988   0.8910407  -0.0564563
 56  11.2583302  -4.5000000  -0.5873087   0.8006880  -0.1181829
 57  12.9903811  -3.5000000  -0.6147074   0.7886928   0.0099236
 58  12.9903811  -4.5000000  -0.5924508   0.7999680   0.0951486
 59  14.7224319  -3.5000000  -0.6008637   0.7976479  -0.0521595
 60  -2.5980762  -4.5000000  -0.5823052   0.8016988  -0.1349063
 61  -1.7320508  -5.0000000  -0.6933290   0.7131150  -0.1037392
 62  -1.7320508  -6.0000000  -0.5888386   0.8073043  -0.0391014
 63  -0.0000000  -5.0000000  -0.5654891   0.8196684   0.0914652
 64  -0.0000000  -6.0000000  -0.5799790   0.7875286  -0.2083821
 65   1.7320508  -5.0000000  -0.6118724   0.7868557   0.0804381
 66   1.7320508  -6.0000000  -0.6741394   0.7382250  -0.0236607
 67   3.4641016  -5.0000000  -0.6609334   0.7497937  -0.0312465
 68   3.4641016  -6.0000000  -0.6374408   0.7674657   0.0683059
 69   5.1961524  -5.0000000  -0.5529965   0.8330912   0.0124092
 70   5.1961524  -6.0000000  -0.6051547   0.7941077  -0.0563987
 71   6.9282032  -5.0000000  -0.6130746   0.7798019   0.1266829
 72   6.9282032  -6.0000000  -0.5959173   0.8029060   0.0149863
 73   8.6602540  -5.0000000  -0.6603183   0.7508154  -0.0160031
 74   8.6602540  -6.0000000  -0.6532968   0.7522012  -0.0860033
 75  10.3923048  -5.0000000  -0.4466799   0.8945572  -0.0156366
 76  10.3923048  -6.0000000  -0.5520068   0.8211007  -0.1451973
 77  12.1243557  -5.0000000  -0.6970847   0.7096837   0.1020879
 78  12.1243557  -6.0000000  -0.6031094   0.7918820  -0.0958221
 79  13.8564065  -5.0000000  -0.5548420   0.8272609  -0.0882598
 80  -3.4641016  -6.0000000  -0.5713394   0.7820294  -0.2490006
 81  -2.5980762  -6.5000000  -0.6580701   0.7508385   0.0564395
 82  -2.5980762  -7.5000000  -0.5944458   0.7934007   0.1309565
 83  -0.8660254  -6.5000000  -0.5916289   0.7952638   0.1324036
 84  -0.8660254  -7.5000000  -0.6006560   0.7918481   0.1104038
 85   0.8660254  -6.5000000  -0.6722632   0.7396200   0.0320076
 86   0.8660254  -7.5000000  -0.6383025   0.7653307   0.0826974
 87   2.5980762  -6.5000000  -0.5743399   0.7996819   0.1750498
 88   2.5980762  -7.5000000  -0.6174720   0.7859090   0.0327914
 89   4.3301270  -6.5000000  -0.5574739   0.8284592  -0.0536492
 90   4.3301270  -7.5000000  -0.6001507   0.7996206  -0.0206381
 91   6.0621778  -6.5000000  -0.5629926   0.8227584   0.0781527
 92   6.0621778  -7.5000000  -0.6233861   0.7805228   0.0466255
 93   7.7942286  -6.5000000  -0.5908227   0.8015942   0.0915159
 94   7.7942286  -7.5000000  -0.5810073   0.8133079  -0.0309963
 95   9.5262794  -6.5000000  -0.5884871   0.8055246  -0.0693760
 96   9.5262794  -7.5000000  -0.5726869   0.8142340   0.0951463
 97  11.2583302  -6.5000000  -0.4583108   0.8823586  -0.1067447
 98  11.2583302  -7.5000000  -0.5743359   0.8186196  -0.0004324
 99  12.9903811  -6.5000000  -0.6692836   0.7409994  -0.0545838
100  -4.3301270  -7.5000000  -0.6992682   0.7146488  -0.0173508
101  -3.4641016  -8.0000000  -0.6068598   0.7947953   0.0046479
102  -3.4641016  -9.0000000  -0.6367976   0.7709929  -0.0076655
103  -1.7320508  -8.0000000  -0.6060136   0.7953624   0.0120919
104  -1.7320508  -9.0000000  -0.7129336   0.6876122  -0.1375319
105  -0.0000000  -8.0000000  -0.6055679   0.7761151   0.1758776
106  -0.0000000  -9.0000000  -0.5916688   0.8006414   0.0943471
107   1.7320508  -8.0000000  -0.6001823   0.7959756   0.0787662
108   1.7320508  -9.0000000  -0.5741777   0.8178708  -0.0375158
109   3.4641016  -8.0000000  -0.6842185   0.7291409  -0.0140909
110   3.4641016  -9.0000000  -0.6601292   0.7492229   0.0537997
111   5.1961524  -8.0000000  -0.5727133   0.8190135  -0.0348746
112   5.1961524  -9.0000000  -0.6361863   0.7709407   0.0302895
113   6.9282032  -8.0000000  -0.5871872   0.8083337   0.0425182
114   6.9282032  -9.0000000  -0.5731462   0.8173129  -0.0591860
115   8.6602540  -8.0000000  -0.6106608   0.7917687   0.0139886
116   8.6602540  -9.0000000  -0.6198134   0.7809993  -0.0766254
117  10.3923048  -8.0000000  -0.5901641   0.8058544   0.0480103
118  10.3923048  -9.0000000  -0.6936104   0.7126598  -0.1049792
119  12.1243557  -8.0000000  -0.6756328   0.7265262   0.1252202
120  -5.1961524  -9.0000000  -0.6784154   0.7331983   0.0466135
121  -4.3301270  -9.5000000  -0.6242594   0.7755324   0.0940730
122  -4.3301270 -10.5000000  -0.5759130   0.8145528  -0.0694837
123  -2.5980762  -9.5000000  -0.6161352   0.7876266  -0.0046601
124  -2.5980762 -10.5000000  -0.5444426   0.8384194   0.0252028
125  -0.8660254  -9.5000000  -0.4854870   0.8701127   0.0848894
126  -0.8660254 -10.5000000  -0.5206747   0.8467771  -0.1089332
127   0.8660254  -9.5000000  -0.6264746   0.7794410  -0.0011101
128   0.8660254 -10.5000000  -0.6191759   0.7846112  -0.0317249
129   2.5980762  -9.5000000  -0.6083244   0.7930940   0.0307134
130   2.5980762 -10.5000000  -0.5665584   0.8146323   0.1240399
131   4.3301270  -9.5000000  -0.6154037   0.7880685   0.0150434
132   4.3301270 -10.5000000  -0.6157206   0.7871801   0.0351519
133   6.0621778  -9.5000000  -0.5042829   0.8538316  -0.1291137
134   6.0621778 -10.5000000  -0.5705039   0.8205115  -0.0358625
135   7.7942286  -9.5000000  -0.6823720   0.7294487  -0.0476761
136   7.7942286 -10.5000000  -0.6525516   0.7575416   0.0175261
137   9.5262794  -9.5000000  -0.5322017   0.8419181  -0.0890806
138   9.5262794 -10.5000000  -0.6210791   0.7828565   0.0373689
139  11.2583302  -9.5000000  -0.6459409   0.7633627   0.0061404
140  -6.0621778 -10.5000000  -0.6404714   0.7675952  -0.0243711
141  -5.1961524 -11.0000000  -0.5354650   0.8422420  -0.0624955
142  -5.1961524 -12.0000000  -0.6045807   0.7696302  -0.2053082
143  -3.4641016 -11.0000000  -0.5499774   0.8349475  -0.0196869
144  -3.4641016 -12.0000000  -0.5771988   0.8127427  -0.0793148
145  -1.7320508 -11.0000000  -0.5800271   0.8145817  -0.0050269
146  -1.7320508 -12.0000000  -0.5759964   0.8167659  -0.0334906
147  -0.0000000 -11.0000000  -0.6160603   0.7873060  -0.0248792
148  -0.0000000 -12.0000000  -0.5599811   0.8150594  -0.1486584
149   1.7320508 -11.0000000  -0.6400724   0.7667359   0.0492274
150   1.7320508 -12.0000000  -0.6465916   0.7572165   0.0924257
151   3.4641016 -11.0000000  -0.4817096   0.8763107   0.0059562
152   3.4641016 -12.0000000  -0.6321994   0.7551275  -0.1735121
153   5.1961524 -11.0000000  -0.5621163   0.8270436   0.0049217
154   5.1961524 -12.0000000  -0.5778702   0.8157775  -0.0239388
155   6.9282032 -11.0000000  -0.6449435   0.7638658   0.0235995
156   6.9282032 -12.0000000  -0.5811043   0.8085116  -0.0928803
157   8.6602540 -11.0000000  -0.6781389   0.7344771  -0.0259027
158   8.6602540 -12.0000000  -0.6233936   0.7801597  -0.0522609
159  10.3923048 -11.0000000  -0.6213360   0.7831607   0.0245134
160  -6.9282032 -12.0000000  -0.5296297   0.8319751  -0.1652568
161  -6.0621778 -12.5000000  -0.6759483   0.7337934  -0.0681256
162  -6.0621778 -13.5000000  -0.6621715   0.7493514   0.0011608
163  -4.3301270 -12.5000000  -0.6117730   0.7843254  -0.1027976
164  -4.3301270 -13.5000000  -0.5965171   0.8005931  -0.0567275
165  -2.5980762 -12.5000000  -0.5791464   0.8151190  -0.0130556
166  -2.5980762 -13.5000000  -0.5718957   0.7959336  -0.1985571
167  -0.8660254 -12.5000000  -0.6097847   0.7917411  -0.0361750
168  -0.8660254 -13.5000000  -0.6620829   0.7459537   0.0721066
169   0.8660254 -12.5000000  -0.6250760   0.7766268  -0.0782993
170   0.8660254 -13.5000000  -0.6034677   0.7972066  -0.0169836
171   2.5980762 -12.5000000  -0.6026416   0.7834095   0.1519626
172   2.5980762 -13.5000000  -0.6884183   0.6992800   0.1925818
173   4.3301270 -12.5000000  -0.5639215   0.8240005  -0.0549157
174   4.3301270 -13.5000000  -0.3900233   0.9139346  -0.1122732
175   6.0621778 -12.5000000  -0.6737212   0.7368884   0.0556356
176   6.0621778 -13.5000000  -0.6452411   0.7595837   0.0818321
177   7.7942286 -12.5000000  -0.5464333   0.8374174  -0.0119485
178   7.7942286 -13.5000000  -0.4319215   0.8858266  -0.1695731
179   9.5262794 -12.5000000  -0.7195251   0.6943340  -0.0135646
180  -7.7942286 -13.5000000  -0.6545427   0.7560215  -0.0023156
181  -6.9282032 -14.0000000  -0.5751084   0.8166487   0.0483243
182  -6.9282032 -15.0000000  -0.5220171   0.8529216   0.0047791
183  -5.1961524 -14.0000000  -0.6325717   0.7684453   0.0966691
184  -5.1961524 -15.0000000  -0.5891478   0.7585616   0.2783689
185  -3.4641016 -14.0000000  -0.6303076   0.7759282  -0.0254508
186  -3.4641016 -15.0000000  -0.6803780   0.7325496  -0.0213741
187  -1.7320508 -14.0000000  -0.6792814   0.7311506   0.0632112
188  -1.7320508 -15.0000000  -0.6871979   0.7260631   0.0243182
189  -0.0000000 -14.0000000  -0.5981987   0.8002777   0.0414007
