  0.00             -284.6877989      0.5004749
  0.03             -283.9181855      0.4980114
  0.06             -284.8029409      0.4964385
  0.09             -285.6232999      0.5005307
  0.13             -283.5513318      0.4992317
  0.16             -284.6517302      0.4990887
  0.19             -284.8792097      0.4981509
  0.22             -285.2686464      0.4987654
  0.25             -284.8951169      0.5036206
  0.28             -285.9640694      0.5025610
  0.31             -287.4189912      0.5063047
  0.35             -289.7488120      0.5054888
  0.38             -287.1136650      0.5052939
  0.41             -288.3246425      0.5074540
  0.44             -288.6085744      0.5068632
  0.47             -286.1542920      0.5035950
  0.50             -289.8397779      0.5094968
  0.53             -286.9918105      0.5026222
  0.57             -291.1093281      0.5098318
  0.60             -289.4694917      0.5095340
  0.63             -293.5469271      0.5193810
  0.66             -291.0888715      0.5150449
  0.69             -291.9663519      0.5156927
  0.72             -295.2153617      0.5205601
  0.75             -299.7318266      0.5287730
  0.79             -299.3847388      0.5287725
  0.82             -297.1119037      0.5233162
  0.85             -302.6753736      0.5380806
  0.88             -300.4286936      0.5332279
  0.91             -305.1466016      0.5369285
  0.94             -300.6317434      0.5304177
  0.97             -306.0435502      0.5381966
  1.01             -303.6896237      0.5373916
  1.04             -307.3505800      0.5451304
  1.07             -303.4509666      0.5360397
  1.10             -310.2337718      0.5470802
  1.13             -307.6949688      0.5446431
  1.16             -308.3181687      0.5461847
  1.19             -307.8368506      0.5462323
  1.23             -306.0999057      0.5420271
  1.26             -303.9908717      0.5418441
  1.29             -300.3228045      0.5352750
  1.32             -296.4342785      0.5248842
  1.35             -290.4950841      0.5147024
  1.38             -285.0713309      0.5074313
  1.41             -277.3310621      0.4923520
  1.45             -272.8120732      0.4826453
  1.48             -264.5648539      0.4702918
  1.51             -256.5731679      0.4508519
  1.54             -256.1768819      0.4519917
