site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000  -0.2815107   0.9455088  -0.1635995
  2   0.8660254  -1.5000000  -0.2255352   0.9507668  -0.2125476
  3   2.5980762  -0.5000000  -0.1935953   0.9779023  -0.0789178
  4   2.5980762  -1.5000000  -0.1530728   0.9691185  -0.1933340
  5   4.3301270  -0.5000000  -0.1276033   0.9760311  -0.1762973
  6   4.3301270  -1.5000000  -0.1444314   0.9682549  -0.2040149
  7   6.0621778  -0.5000000  -0.2037474   0.9767549  -0.0666099
  8   6.0621778  -1.5000000  -0.2143265   0.9440759  -0.2505689
  9   7.7942286  -0.5000000  -0.0505246   0.9783289  -0.2007978
 10   7.7942286  -1.5000000   0.0397240   0.9428611  -0.3308096
 11   9.5262794  -0.5000000  -0.0627699   0.9978174  -0.0205043
 12   9.5262794  -1.5000000  -0.0745896   0.9649640  -0.2515571
 13  11.2583302  -0.5000000  -0.2199904   0.9624600  -0.1589809
 14  11.2583302  -1.5000000  -0.3822877   0.9238622   0.0182971
 15  12.9903811  -0.5000000  -0.0439402   0.9801239  -0.1934590
 16  12.9903811  -1.5000000  -0.1029626   0.9914755  -0.0798435
 17  14.7224319  -0.5000000  -0.1194051   0.9928411   0.0029991
 18  14.7224319  -1.5000000  -0.2167031   0.9309546  -0.2938762
 19  16.4544827  -0.5000000  -0.1482334   0.9776742  -0.1489295
 20  -0.8660254  -1.5000000  -0.2119654   0.9498866  -0.2297521
 21  -0.0000000  -2.0000000  -0.0521096   0.9932920  -0.1032257
 22  -0.0000000  -3.0000000  -0.1088630   0.9788906  -0.1729797
 23   1.7320508  -2.0000000  -0.1986245   0.9657775  -0.1667998
 24   1.7320508  -3.0000000  -0.1510034   0.9695889  -0.1926016
 25   3.4641016  -2.0000000  -0.1174601   0.9901977  -0.0755757
 26   3.4641016  -3.0000000  -0.1796223   0.9160916  -0.3584858
 27   5.1961524  -2.0000000  -0.3524493   0.9302142  -0.1023767
 28   5.1961524  -3.0000000  -0.3150193   0.9288267  -0.1950484
 29   6.9282032  -2.0000000  -0.2558159   0.9583882  -0.1266898
 30   6.9282032  -3.0000000  -0.3827785   0.8626654  -0.3305888
 31   8.6602540  -2.0000000  -0.0732472   0.9906838  -0.1148062
 32   8.6602540  -3.0000000  -0.0591376   0.9328269  -0.3554388
 33  10.3923048  -2.0000000  -0.2495543   0.9642249  -0.0894039
 34  10.3923048  -3.0000000  -0.1182254   0.9765754  -0.1797866
 35  12.1243557  -2.0000000  -0.3069248   0.9371078  -0.1662114
 36  12.1243557  -3.0000000  -0.2523339   0.9429093  -0.2173697
 37  13.8564065  -2.0000000  -0.0157822   0.9945779  -0.1027900
 38  13.8564065  -3.0000000  -0.1483977   0.9585438  -0.2432528
 39  15.5884573  -2.0000000  -0.2160745   0.9508991  -0.2215914
 40  -1.7320508  -3.0000000  -0.2176037   0.9242105  -0.3138210
 41  -0.8660254  -3.5000000  -0.2738332   0.9547250  -0.1162562
 42  -0.8660254  -4.5000000  -0.2360542   0.9340330  -0.2680685
 43   0.8660254  -3.5000000  -0.1766772   0.9809319  -0.0809797
 44   0.8660254  -4.5000000  -0.2693230   0.9465024  -0.1777594
