site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000   0.9480136  -0.3176472   0.0192500
  2   0.8660254  -1.5000000   0.9510674  -0.3066075  -0.0382446
  3   2.5980762  -0.5000000   0.9592446  -0.2821500  -0.0155289
  4   2.5980762  -1.5000000   0.8695314  -0.4888911  -0.0700048
  5   4.3301270  -0.5000000   0.9076456  -0.4164893   0.0521172
  6   4.3301270  -1.5000000   0.9053579  -0.3822538  -0.1849570
  7   6.0621778  -0.5000000   0.9074839  -0.3891713  -0.1581730
  8   6.0621778  -1.5000000   0.8922096  -0.3935449  -0.2215499
  9   7.7942286  -0.5000000   0.9052662  -0.4185797  -0.0726916
 10   7.7942286  -1.5000000   0.9037933  -0.4187968  -0.0881298
 11   9.5262794  -0.5000000   0.9590590  -0.2742396   0.0707003
 12   9.5262794  -1.5000000   0.9027461  -0.4200525  -0.0927647
 13  11.2583302  -0.5000000   0.9537728  -0.3004640  -0.0062310
 14  11.2583302  -1.5000000   0.9103090  -0.3821044  -0.1591659
 15  12.9903811  -0.5000000   0.9319281  -0.3624129   0.0129177
 16  12.9903811  -1.5000000   0.9221948  -0.3861077  -0.0218546
 17  14.7224319  -0.5000000   0.8619793  -0.4662410   0.1990251
 18  14.7224319  -1.5000000   0.9124706  -0.3784880  -0.1553842
 19  16.4544827  -0.5000000   0.9277800  -0.3713193  -0.0366910
 20  -0.8660254  -1.5000000   0.9129933  -0.4017310  -0.0711020
 21  -0.0000000  -2.0000000   0.8548342  -0.4687152   0.2226310
 22  -0.0000000  -3.0000000   0.8593438  -0.4654046   0.2119595
 23   1.7320508  -2.0000000   0.8923789  -0.4512544   0.0054208
 24   1.7320508  -3.0000000   0.9028616  -0.4087772  -0.1331992
 25   3.4641016  -2.0000000   0.8693649  -0.4848363   0.0955949
 26   3.4641016  -3.0000000   0.8701667  -0.4923025  -0.0211682
 27   5.1961524  -2.0000000   0.9477554  -0.3135309  -0.0588057
 28   5.1961524  -3.0000000   0.9772919  -0.1945941  -0.0838672
 29   6.9282032  -2.0000000   0.8888594  -0.4581795  -0.0007383
 30   6.9282032  -3.0000000   0.9041456  -0.4233090  -0.0577082
 31   8.6602540  -2.0000000   0.8243409  -0.5660329   0.0082965
 32   8.6602540  -3.0000000   0.9491067  -0.2992130  -0.0983261
 33  10.3923048  -2.0000000   0.9181642  -0.3874206   0.0829447
 34  10.3923048  -3.0000000   0.9418565  -0.3328570   0.0459624
 35  12.1243557  -2.0000000   0.9394942  -0.3425646  -0.0002493
 36  12.1243557  -3.0000000   0.9102418  -0.4134570  -0.0226550
 37  13.8564065  -2.0000000   0.9264267  -0.3764673   0.0024628
 38  13.8564065  -3.0000000   0.8916806  -0.4506173  -0.0430083
 39  15.5884573  -2.0000000   0.9010056  -0.4275535   0.0733953
 40  -1.7320508  -3.0000000   0.8775341  -0.4790432   0.0212492
 41  -0.8660254  -3.5000000   0.8914134  -0.4505067   0.0492523
 42  -0.8660254  -4.5000000   0.9566591  -0.2316730  -0.1764395
 43   0.8660254  -3.5000000   0.8855104  -0.4538256   0.0995672
 44   0.8660254  -4.5000000   0.9598315  -0.2734992  -0.0626241
 45   2.5980762  -3.5000000   0.8944818  -0.4354072  -0.1016018
 46   2.5980762  -4.5000000   0.9284286  -0.3705410  -0.0268280
 47   4.3301270  -3.5000000   0.9670505  -0.2246532   0.1197676
 48   4.3301270  -4.5000000   0.8491716  -0.5230322  -0.0731090
 49   6.0621778  -3.5000000   0.9132229  -0.4066532  -0.0256361
 50   6.0621778  -4.5000000   0.8656059  -0.4569225  -0.2048130
 51   7.7942286  -3.5000000   0.9707934  -0.2384499   0.0264920
 52   7.7942286  -4.5000000   0.8887704  -0.4443915  -0.1122643
 53   9.5262794  -3.5000000   0.9238132  -0.3618343  -0.1250808
 54   9.5262794  -4.5000000   0.8997948  -0.4209486  -0.1147676
 55  11.2583302  -3.5000000   0.9000143  -0.4353910   0.0202196
 56  11.2583302  -4.5000000   0.9463634  -0.3231027   0.0009687
 57  12.9903811  -3.5000000   0.9140994  -0.4034477   0.0406474
 58  12.9903811  -4.5000000   0.8668104  -0.4981207  -0.0227044
 59  14.7224319  -3.5000000   0.9546163  -0.2851441  -0.0860262
 60  -2.5980762  -4.5000000   0.8875839  -0.4467112  -0.1124452
 61  -1.7320508  -5.0000000   0.9705618  -0.2379169  -0.0374867
 62  -1.7320508  -6.0000000   0.8312541  -0.4981954  -0.2466132
 63  -0.0000000  -5.0000000   0.9251068  -0.3761401  -0.0519241
 64  -0.0000000  -6.0000000   0.9666753  -0.2384604  -0.0931426
 65   1.7320508  -5.0000000   0.9112638  -0.4117337  -0.0085813
 66   1.7320508  -6.0000000   0.9138739  -0.4059745  -0.0043898
 67   3.4641016  -5.0000000   0.8652189  -0.4600724   0.1993227
 68   3.4641016  -6.0000000   0.8669091  -0.4548922  -0.2038177
 69   5.1961524  -5.0000000   0.8944391  -0.4467924   0.0188469
 70   5.1961524  -6.0000000   0.9067488  -0.4205863  -0.0302274
 71   6.9282032  -5.0000000   0.9379950  -0.3464428   0.0119482
 72   6.9282032  -6.0000000   0.8878606  -0.4549231   0.0689091
 73   8.6602540  -5.0000000   0.8936383  -0.4445649   0.0614223
 74   8.6602540  -6.0000000   0.9823264  -0.1541346  -0.1061953
 75  10.3923048  -5.0000000   0.9333802  -0.2747432  -0.2309060
 76  10.3923048  -6.0000000   0.8916567  -0.3593285  -0.2753748
 77  12.1243557  -5.0000000   0.8883677  -0.4585614  -0.0228973
 78  12.1243557  -6.0000000   0.9171795  -0.3975960   0.0264411
 79  13.8564065  -5.0000000   0.9372765  -0.2680935  -0.2227972
 80  -3.4641016  -6.0000000   0.9671107  -0.2180698  -0.1309294
 81  -2.5980762  -6.5000000   0.8943402  -0.4460563   0.0344872
 82  -2.5980762  -7.5000000   0.9322895  -0.3515169  -0.0852770
 83  -0.8660254  -6.5000000   0.9672964  -0.2536050  -0.0047138
 84  -0.8660254  -7.5000000   0.9088381  -0.4168704  -0.0152470
 85   0.8660254  -6.5000000   0.8863263  -0.4347187  -0.1595161
 86   0.8660254  -7.5000000   0.9009990  -0.4302384  -0.0556392
 87   2.5980762  -6.5000000   0.9467054  -0.3211834  -0.0242918
 88   2.5980762  -7.5000000   0.8365313  -0.4986443  -0.2270886
 89   4.3301270  -6.5000000   0.9289950  -0.3371807  -0.1525696
 90   4.3301270  -7.5000000   0.9260250  -0.3771732  -0.0147710
 91   6.0621778  -6.5000000   0.8827627  -0.4635394  -0.0765583
 92   6.0621778  -7.5000000   0.8721752  -0.4848095  -0.0653464
 93   7.7942286  -6.5000000   0.9503772  -0.3085172   0.0400045
 94   7.7942286  -7.5000000   0.9249271  -0.3727791  -0.0744693
 95   9.5262794  -6.5000000   0.9258130  -0.3512881  -0.1395240
 96   9.5262794  -7.5000000   0.8608355  -0.4944355  -0.1203989
 97  11.2583302  -6.5000000   0.8980925  -0.4256486  -0.1106939
 98  11.2583302  -7.5000000   0.9237095  -0.2793984  -0.2621019
 99  12.9903811  -6.5000000   0.9510320  -0.2509376  -0.1804673
100  -4.3301270  -7.5000000   0.9493092  -0.2638715  -0.1708328
101  -3.4641016  -8.0000000   0.9617838  -0.2600145   0.0858157
102  -3.4641016  -9.0000000   0.8144451  -0.5783279  -0.0470751
103  -1.7320508  -8.0000000   0.9460432  -0.3206902  -0.0464764
104  -1.7320508  -9.0000000   0.9300289  -0.3538547  -0.0991622
105  -0.0000000  -8.0000000   0.8691527  -0.4933186   0.0347893
106  -0.0000000  -9.0000000   0.9595036  -0.2795722  -0.0345276
107   1.7320508  -8.0000000   0.8864830  -0.4621157  -0.0244342
108   1.7320508  -9.0000000   0.8711831  -0.4810897  -0.0979426
109   3.4641016  -8.0000000   0.9321414  -0.3577821  -0.0557168
110   3.4641016  -9.0000000   0.9106973  -0.3781518  -0.1662277
111   5.1961524  -8.0000000   0.8370709  -0.5422877  -0.0723620
112   5.1961524  -9.0000000   0.9268786  -0.3551148  -0.1216123
113   6.9282032  -8.0000000   0.8955385  -0.4341729  -0.0974921
114   6.9282032  -9.0000000   0.8503218  -0.4729474  -0.2308107
115   8.6602540  -8.0000000   0.8828220  -0.4678147  -0.0421282
116   8.6602540  -9.0000000   0.9281430  -0.3670913  -0.0615996
117  10.3923048  -8.0000000   0.9656773  -0.2503996  -0.0690469
118  10.3923048  -9.0000000   0.9125539  -0.3360971  -0.2329893
119  12.1243557  -8.0000000   0.9719790  -0.2334292  -0.0277051
120  -5.1961524  -9.0000000   0.8466062  -0.5222107  -0.1027323
121  -4.3301270  -9.5000000   0.8429363  -0.5377193   0.0177872
122  -4.3301270 -10.5000000   0.9830595  -0.1718905  -0.0636211
123  -2.5980762  -9.5000000   0.9278250  -0.3721425   0.0255081
124  -2.5980762 -10.5000000   0.9063048  -0.4115744  -0.0960111
125  -0.8660254  -9.5000000   0.9593364  -0.2471697  -0.1363114
126  -0.8660254 -10.5000000   0.9155448  -0.3012828  -0.2664703
127   0.8660254  -9.5000000   0.8815858  -0.4717575  -0.0158523
128   0.8660254 -10.5000000   0.9632807  -0.2352151   0.1294766
129   2.5980762  -9.5000000   0.8759438  -0.4761248   0.0776374
