site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000   0.5719002   0.6698569  -0.4735207
  2   0.8660254  -1.5000000   0.6700362   0.5496011  -0.4989891
  3   2.5980762  -0.5000000   0.6359266   0.6605204  -0.3991369
  4   2.5980762  -1.5000000   0.6373630   0.4465409  -0.6279885
  5   4.3301270  -0.5000000   0.6011808   0.7200032  -0.3466656
  6   4.3301270  -1.5000000   0.4531839   0.6841986  -0.5713988
  7   6.0621778  -0.5000000   0.4819210   0.7025663  -0.5235959
  8   6.0621778  -1.5000000   0.4472772   0.6285673  -0.6362753
  9   7.7942286  -0.5000000   0.7875692   0.4731003  -0.3948555
 10   7.7942286  -1.5000000   0.7470100   0.5224701  -0.4110973
 11   9.5262794  -0.5000000   0.7099548   0.5479108  -0.4424454
 12   9.5262794  -1.5000000   0.8148880   0.3851798  -0.4331213
 13  11.2583302  -0.5000000   0.7115677   0.6079913  -0.3521619
 14  11.2583302  -1.5000000   0.7385940   0.4554113  -0.4970709
 15  12.9903811  -0.5000000   0.6572087   0.6195584  -0.4292134
 16  12.9903811  -1.5000000   0.6169492   0.4094672  -0.6720939
 17  14.7224319  -0.5000000   0.6034780   0.6886757  -0.4019205
 18  14.7224319  -1.5000000   0.6570149   0.5108282  -0.5544240
 19  16.4544827  -0.5000000   0.6580728   0.4146689  -0.6284822
 20  -0.8660254  -1.5000000   0.6565155   0.5280073  -0.5386981
 21  -0.0000000  -2.0000000   0.6797030   0.5835302  -0.4444056
 22  -0.0000000  -3.0000000   0.6937966   0.5335268  -0.4837307
 23   1.7320508  -2.0000000   0.7602685   0.4826570  -0.4347804
 24   1.7320508  -3.0000000   0.6966188   0.5139564  -0.5005707
 25   3.4641016  -2.0000000   0.5937515   0.5959975  -0.5405979
 26   3.4641016  -3.0000000   0.5388096   0.5750593  -0.6156224
 27   5.1961524  -2.0000000   0.6240489   0.6761456  -0.3916504
 28   5.1961524  -3.0000000   0.4787002   0.7099505  -0.5165427
 29   6.9282032  -2.0000000   0.4870813   0.6998740  -0.5224253
 30   6.9282032  -3.0000000   0.4225605   0.6930369  -0.5840741
 31   8.6602540  -2.0000000   0.7870684   0.4269197  -0.4452671
 32   8.6602540  -3.0000000   0.6619796   0.5439730  -0.5156321
 33  10.3923048  -2.0000000   0.7199900   0.5337448  -0.4435435
 34  10.3923048  -3.0000000   0.5280016   0.6472687  -0.5497796
 35  12.1243557  -2.0000000   0.8027134   0.4058954  -0.4369212
 36  12.1243557  -3.0000000   0.7835347   0.4386174  -0.4401001
 37  13.8564065  -2.0000000   0.6870296   0.5133064  -0.5143023
 38  13.8564065  -3.0000000   0.6456947   0.5330243  -0.5467755
 39  15.5884573  -2.0000000   0.5781141   0.5903576  -0.5632602
 40  -1.7320508  -3.0000000   0.6483283   0.4132707  -0.6394355
 41  -0.8660254  -3.5000000   0.6034467   0.5586923  -0.5689595
 42  -0.8660254  -4.5000000   0.6212198   0.5600906  -0.5480734
 43   0.8660254  -3.5000000   0.6250890   0.6274893  -0.4642423
 44   0.8660254  -4.5000000   0.6079717   0.6430442  -0.4656872
 45   2.5980762  -3.5000000   0.6496606   0.5620382  -0.5119122
 46   2.5980762  -4.5000000   0.5659729   0.5090054  -0.6485277
 47   4.3301270  -3.5000000   0.5296672   0.6342248  -0.5632154
 48   4.3301270  -4.5000000   0.5164697   0.5623079  -0.6458087
 49   6.0621778  -3.5000000   0.5961718   0.7398203  -0.3118415
 50   6.0621778  -4.5000000   0.5933771   0.6557995  -0.4667232
 51   7.7942286  -3.5000000   0.5472106   0.6020418  -0.5814690
 52   7.7942286  -4.5000000   0.5265059   0.6554257  -0.5414874
 53   9.5262794  -3.5000000   0.6851727   0.6653849  -0.2963128
 54   9.5262794  -4.5000000   0.6301610   0.3214564  -0.7067976
 55  11.2583302  -3.5000000   0.6838310   0.4784262  -0.5508934
 56  11.2583302  -4.5000000   0.6893429   0.4049250  -0.6007013
 57  12.9903811  -3.5000000   0.7308193   0.5866239  -0.3489635
 58  12.9903811  -4.5000000   0.6716809   0.4954504  -0.5507937
 59  14.7224319  -3.5000000   0.7242065   0.4974229  -0.4775933
 60  -2.5980762  -4.5000000   0.6197362   0.5931474  -0.5139098
 61  -1.7320508  -5.0000000   0.5440808   0.6961815  -0.4683026
 62  -1.7320508  -6.0000000   0.4854881   0.6187402  -0.6176260
 63  -0.0000000  -5.0000000   0.6787091   0.5606685  -0.4743467
 64  -0.0000000  -6.0000000   0.5816954   0.6260314  -0.5193410
 65   1.7320508  -5.0000000   0.7386120   0.5521336  -0.3867826
 66   1.7320508  -6.0000000   0.5940732   0.5283279  -0.6065861
 67   3.4641016  -5.0000000   0.6069692   0.5889144  -0.5336368
 68   3.4641016  -6.0000000   0.5890733   0.5267562  -0.6127973
 69   5.1961524  -5.0000000   0.5938950   0.4986176  -0.6314026
 70   5.1961524  -6.0000000   0.4236433   0.7185291  -0.5515815
 71   6.9282032  -5.0000000   0.6124975   0.6207282  -0.4894316
 72   6.9282032  -6.0000000   0.4269321   0.6963482  -0.5769126
 73   8.6602540  -5.0000000   0.7344943   0.4198323  -0.5331594
 74   8.6602540  -6.0000000   0.6502913   0.6061375  -0.4579505
 75  10.3923048  -5.0000000   0.5649000   0.5946538  -0.5720794
 76  10.3923048  -6.0000000   0.4630410   0.6775466  -0.5714224
 77  12.1243557  -5.0000000   0.6242689   0.5447865  -0.5599072
 78  12.1243557  -6.0000000   0.5344891   0.6040629  -0.5911256
 79  13.8564065  -5.0000000   0.6396774   0.6154722  -0.4604420
 80  -3.4641016  -6.0000000   0.5492099   0.5457588  -0.6328632
 81  -2.5980762  -6.5000000   0.5985817   0.7035459  -0.3830445
 82  -2.5980762  -7.5000000   0.6560628   0.4074629  -0.6352602
 83  -0.8660254  -6.5000000   0.7006666   0.6722715  -0.2389922
 84  -0.8660254  -7.5000000   0.7334263   0.4628810  -0.4978223
 85   0.8660254  -6.5000000   0.6938299   0.5160687  -0.5022680
 86   0.8660254  -7.5000000   0.6852613   0.5987872  -0.4145730
 87   2.5980762  -6.5000000   0.4811215   0.7471091  -0.4586394
 88   2.5980762  -7.5000000   0.4692360   0.6761870  -0.5679690
 89   4.3301270  -6.5000000   0.6255636   0.7028163  -0.3387026
 90   4.3301270  -7.5000000   0.6523872   0.5215468  -0.5498907
 91   6.0621778  -6.5000000   0.5060617   0.7542383  -0.4183612
 92   6.0621778  -7.5000000   0.4756416   0.6812088  -0.5565246
 93   7.7942286  -6.5000000   0.5135880   0.6422099  -0.5690288
 94   7.7942286  -7.5000000   0.5046688   0.6398895  -0.5795264
 95   9.5262794  -6.5000000   0.6468366   0.7289332  -0.2241850
 96   9.5262794  -7.5000000   0.7109342   0.5824443  -0.3941209
 97  11.2583302  -6.5000000   0.3627606   0.6555413  -0.6623219
 98  11.2583302  -7.5000000   0.3452250   0.6789772  -0.6479272
 99  12.9903811  -6.5000000   0.7537099   0.5626601  -0.3396101
100  -4.3301270  -7.5000000   0.7055420   0.4420323  -0.5539115
101  -3.4641016  -8.0000000   0.7665039   0.4796100  -0.4271371
102  -3.4641016  -9.0000000   0.8066191   0.4779977  -0.3476834
103  -1.7320508  -8.0000000   0.5848567   0.5962290  -0.5499577
104  -1.7320508  -9.0000000   0.5634417   0.6283133  -0.5364288
105  -0.0000000  -8.0000000   0.6538226   0.6212177  -0.4319775
106  -0.0000000  -9.0000000   0.5626314   0.6145435  -0.5529757
107   1.7320508  -8.0000000   0.4968496   0.7050891  -0.5059543
108   1.7320508  -9.0000000   0.4420215   0.6517630  -0.6162970
109   3.4641016  -8.0000000   0.5268804   0.6342801  -0.5657612
110   3.4641016  -9.0000000   0.4532835   0.5823557  -0.6748303
111   5.1961524  -8.0000000   0.4654680   0.6714647  -0.5766062
112   5.1961524  -9.0000000   0.4588650   0.6502608  -0.6054781
113   6.9282032  -8.0000000   0.5991488   0.7506739  -0.2784053
114   6.9282032  -9.0000000   0.6478134   0.5475404  -0.5296576
115   8.6602540  -8.0000000   0.5531739   0.5855963  -0.5925164
116   8.6602540  -9.0000000   0.4739024   0.6336274  -0.6115005
117  10.3923048  -8.0000000   0.7135427   0.6025897  -0.3574107
118  10.3923048  -9.0000000   0.5173837   0.7232497  -0.4574101
119  12.1243557  -8.0000000   0.6549409   0.6051237  -0.4526342
120  -5.1961524  -9.0000000   0.5705306   0.4670639  -0.6755339
121  -4.3301270  -9.5000000   0.3796924   0.7240924  -0.5757811
122  -4.3301270 -10.5000000   0.4663371   0.6515869  -0.5983011
123  -2.5980762  -9.5000000   0.5386233   0.6815575  -0.4953426
124  -2.5980762 -10.5000000   0.3997815   0.7457096  -0.5330027
125  -0.8660254  -9.5000000   0.2859960   0.8438676  -0.4539755
126  -0.8660254 -10.5000000   0.2971808   0.7157310  -0.6319910
127   0.8660254  -9.5000000   0.7517897   0.5575760  -0.3520245
128   0.8660254 -10.5000000   0.6305758   0.5437413  -0.5538226
129   2.5980762  -9.5000000   0.5739263   0.7040230  -0.4182826
130   2.5980762 -10.5000000   0.5088481   0.5842026  -0.6322824
131   4.3301270  -9.5000000   0.5444164   0.6659017  -0.5100840
132   4.3301270 -10.5000000   0.5896194   0.7171700  -0.3715054
133   6.0621778  -9.5000000   0.4461264   0.7092672  -0.5458124
134   6.0621778 -10.5000000   0.3701452   0.6294154  -0.6832487
135   7.7942286  -9.5000000   0.6302029   0.6122194  -0.4775266
136   7.7942286 -10.5000000   0.5767867   0.6573844  -0.4849360
137   9.5262794  -9.5000000   0.4763775   0.7788032  -0.4080809
138   9.5262794 -10.5000000   0.4286657   0.7069630  -0.5625380
139  11.2583302  -9.5000000   0.3932257   0.7482663  -0.5342950
140  -6.0621778 -10.5000000   0.3921375   0.6983155  -0.5988185
141  -5.1961524 -11.0000000   0.5915146   0.7012605  -0.3979249
142  -5.1961524 -12.0000000   0.5689421   0.5289526  -0.6296935
143  -3.4641016 -11.0000000   0.4532796   0.7256047  -0.5177214
144  -3.4641016 -12.0000000   0.5982806   0.5932763  -0.5385940
145  -1.7320508 -11.0000000   0.5320584   0.7546005  -0.3840469
146  -1.7320508 -12.0000000   0.5575945   0.5426392  -0.6281967
147  -0.0000000 -11.0000000   0.6313372   0.6280241  -0.4549715
148  -0.0000000 -12.0000000   0.5840608   0.5515736  -0.5955162
149   1.7320508 -11.0000000   0.6393185   0.6295633  -0.4414995
150   1.7320508 -12.0000000   0.5539591   0.6020053  -0.5750817
151   3.4641016 -11.0000000   0.3818551   0.7215974  -0.5774806
152   3.4641016 -12.0000000   0.3993631   0.6462367  -0.6502978
153   5.1961524 -11.0000000   0.6494935   0.6746488  -0.3507238
154   5.1961524 -12.0000000   0.7385637   0.5161777  -0.4336869
155   6.9282032 -11.0000000   0.6005197   0.5613742  -0.5694165
156   6.9282032 -12.0000000   0.5260772   0.5564739  -0.6431015
157   8.6602540 -11.0000000   0.4689337   0.7845245  -0.4057370
158   8.6602540 -12.0000000   0.4388301   0.6817298  -0.5853826
159  10.3923048 -11.0000000   0.6254465   0.6660014  -0.4065205
160  -6.9282032 -12.0000000   0.6294107   0.6440856  -0.4347365
161  -6.0621778 -12.5000000   0.5598912   0.6187125  -0.5511049
162  -6.0621778 -13.5000000   0.5332584   0.6731675  -0.5123289
163  -4.3301270 -12.5000000   0.5916895   0.6269385  -0.5068053
164  -4.3301270 -13.5000000   0.5307536   0.6195791  -0.5782926
165  -2.5980762 -12.5000000   0.6881395   0.6209763  -0.3753032
166  -2.5980762 -13.5000000   0.6986957   0.5905956  -0.4037588
167  -0.8660254 -12.5000000   0.6725255   0.5946026  -0.4406327
168  -0.8660254 -13.5000000   0.5303790   0.5866536  -0.6119932
169   0.8660254 -12.5000000   0.6436073   0.6602079  -0.3871631
170   0.8660254 -13.5000000   0.6828436   0.5090106  -0.5240542
171   2.5980762 -12.5000000   0.4164105   0.7549387  -0.5066260
172   2.5980762 -13.5000000   0.3519516   0.7658939  -0.5380861
173   4.3301270 -12.5000000   0.6139046   0.5129300  -0.6000200
174   4.3301270 -13.5000000   0.5599672   0.6185932  -0.5511616
175   6.0621778 -12.5000000   0.7333015   0.5475316  -0.4030856
176   6.0621778 -13.5000000   0.7155898   0.4633809  -0.5226944
177   7.7942286 -12.5000000   0.5228777   0.6805388  -0.5132892
178   7.7942286 -13.5000000   0.5692659   0.5851598  -0.5775156
179   9.5262794 -12.5000000   0.5884997   0.6283352  -0.5087858
180  -7.7942286 -13.5000000   0.5783244   0.5421616  -0.6095914
181  -6.9282032 -14.0000000   0.5291020   0.5517084  -0.6447239
182  -6.9282032 -15.0000000   0.4680083   0.7575075  -0.4551380
183  -5.1961524 -14.0000000   0.6262781   0.6516542  -0.4279281
184  -5.1961524 -15.0000000   0.5406336   0.6195739  -0.5690725
185  -3.4641016 -14.0000000   0.6003023   0.5894473  -0.5405452
186  -3.4641016 -15.0000000   0.5366074   0.6664740  -0.5175567
187  -1.7320508 -14.0000000   0.6231997   0.6582070  -0.4223572
188  -1.7320508 -15.0000000   0.6089513   0.7112804  -0.3510819
189  -0.0000000 -14.0000000   0.7014674   0.5827895  -0.4102437
190  -0.0000000 -15.0000000   0.7389461   0.4024977  -0.5403278
191   1.7320508 -14.0000000   0.6933912   0.5443544  -0.4721090
192   1.7320508 -15.0000000   0.5830053   0.4826026  -0.6536051
193   3.4641016 -14.0000000   0.5262398   0.7144633  -0.4611006
194   3.4641016 -15.0000000   0.5251765   0.6676209  -0.5277045
195   5.1961524 -14.0000000   0.6407766   0.6676689  -0.3789771
196   5.1961524 -15.0000000   0.6006797   0.5295027  -0.5990081
197   6.9282032 -14.0000000   0.6204161   0.6307699  -0.4660614
198   6.9282032 -15.0000000   0.5077973   0.5546117  -0.6592024
199   8.6602540 -14.0000000   0.6028119   0.6704511  -0.4325658
200  -8.6602540 -15.0000000   0.7236727   0.4095289  -0.5555033
