theta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  2.73      0.0010608     -0.0184392      0.0004276      0.0091352      0.0004184
  2.76      0.0004330     -0.0200106      0.0004262      0.0083884      0.0004230
  2.80     -0.0007587     -0.0219704      0.0004247      0.0071035      0.0004219
  2.83     -0.0003097     -0.0206254      0.0004181      0.0063759      0.0004192
  2.86      0.0008860     -0.0211745      0.0004244      0.0070744      0.0004188
  2.89      0.0011039     -0.0203970      0.0004203      0.0063768      0.0004267
  2.92     -0.0000104     -0.0205541      0.0004237      0.0045837      0.0004220
  2.95      0.0003647     -0.0212216      0.0004296      0.0044195      0.0004228
  2.98      0.0001714     -0.0213731      0.0004225      0.0035587      0.0004263
  3.02      0.0007707     -0.0200931      0.0004208      0.0033152      0.0004327
  3.05      0.0004431     -0.0221870      0.0004223      0.0025424      0.0004212
  3.08      0.0009020     -0.0203259      0.0004181      0.0021826      0.0004226
  3.11      0.0008692     -0.0206229      0.0004244      0.0015177      0.0004229
  3.14      0.0014795     -0.0214013      0.0004303      0.0014795      0.0004260
