theta 	 taux 	 tauy 	  tauz  	 tau_perp 	  mx error	 my error 	 mz error
  0.00  -0.0000300   0.0000300  -0.0002063   0.0000688   0.0001297   0.0001287   0.0001295
  0.03  -0.0000616  -0.0003586   0.0001294  -0.0003233   0.0001299   0.0001293   0.0001303
  0.06  -0.0006580  -0.0001782   0.0000837  -0.0005854   0.0001291   0.0001293   0.0001294
  0.09  -0.0010346  -0.0002435  -0.0001138  -0.0008141   0.0001289   0.0001289   0.0001294
  0.13  -0.0012121  -0.0004922   0.0000372  -0.0011486   0.0001294   0.0001291   0.0001296
  0.16  -0.0017763  -0.0003238  -0.0002636  -0.0013121   0.0001301   0.0001296   0.0001297
  0.19  -0.0019716  -0.0005047   0.0000120  -0.0016549   0.0001295   0.0001286   0.0001292
  0.22  -0.0025590  -0.0003678  -0.0002159  -0.0018793   0.0001291   0.0001296   0.0001295
  0.25  -0.0027457  -0.0005626  -0.0000302  -0.0021954   0.0001297   0.0001292   0.0001297
  0.28  -0.0031149  -0.0005775   0.0001720  -0.0025190   0.0001298   0.0001297   0.0001299
  0.31  -0.0034116  -0.0006125  -0.0001471  -0.0026337   0.0001298   0.0001305   0.0001291
  0.35  -0.0035030  -0.0008587   0.0001307  -0.0029514   0.0001292   0.0001295   0.0001289
  0.38  -0.0039035  -0.0008408   0.0000164  -0.0031684   0.0001295   0.0001295   0.0001292
  0.41  -0.0041835  -0.0008046  -0.0001986  -0.0032592   0.0001294   0.0001295   0.0001288
  0.44  -0.0045086  -0.0009243   0.0002081  -0.0036913   0.0001294   0.0001301   0.0001297
  0.47  -0.0046214  -0.0008482   0.0000667  -0.0036686   0.0001296   0.0001289   0.0001288
  0.50  -0.0050566  -0.0007398  -0.0001060  -0.0038289   0.0001294   0.0001290   0.0001291
  0.53  -0.0052033  -0.0007223   0.0000841  -0.0039784   0.0001290   0.0001298   0.0001296
  0.57  -0.0054485  -0.0007070   0.0000782  -0.0041298   0.0001294   0.0001289   0.0001300
  0.60  -0.0055417  -0.0007495   0.0001405  -0.0042410   0.0001288   0.0001294   0.0001294
  0.63  -0.0058640  -0.0006906   0.0000730  -0.0043941   0.0001297   0.0001295   0.0001292
  0.66  -0.0060122  -0.0004533  -0.0002332  -0.0042326   0.0001295   0.0001300   0.0001298
  0.69  -0.0062736  -0.0006181  -0.0000046  -0.0045929   0.0001295   0.0001297   0.0001294
