site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000   0.7056931  -0.7084444   0.0101857
  2   0.8660254  -1.5000000   0.6746426  -0.7310581   0.1020364
  3   2.5980762  -0.5000000   0.8004697  -0.5960896  -0.0626526
  4   2.5980762  -1.5000000   0.6665153  -0.7359284   0.1190240
  5   4.3301270  -0.5000000   0.6483853  -0.7532267   0.1106617
  6   4.3301270  -1.5000000   0.7833925  -0.6212832  -0.0174192
  7   6.0621778  -0.5000000   0.6911131  -0.7198254  -0.0649159
  8   6.0621778  -1.5000000   0.6599256  -0.7513178   0.0044400
  9   7.7942286  -0.5000000   0.7193718  -0.6815824   0.1339761
 10   7.7942286  -1.5000000   0.5886057  -0.7964195   0.1387781
 11   9.5262794  -0.5000000   0.7522489  -0.6564665  -0.0563326
 12   9.5262794  -1.5000000   0.7346362  -0.6688691   0.1136826
 13  11.2583302  -0.5000000   0.7127694  -0.6947651   0.0962349
 14  11.2583302  -1.5000000   0.6598740  -0.7411697   0.1234253
 15  12.9903811  -0.5000000   0.7556224  -0.6537005  -0.0413582
 16  12.9903811  -1.5000000   0.7492024  -0.6623165   0.0057053
 17  14.7224319  -0.5000000   0.7092999  -0.7047352   0.0155530
 18  14.7224319  -1.5000000   0.6930041  -0.7120726   0.1126853
 19  16.4544827  -0.5000000   0.8009004  -0.5987679   0.0059587
 20  -0.8660254  -1.5000000   0.6700990  -0.7411045   0.0416118
 21  -0.0000000  -2.0000000   0.6597623  -0.7487361   0.0640930
 22  -0.0000000  -3.0000000   0.6536161  -0.7563502   0.0268401
 23   1.7320508  -2.0000000   0.7014648  -0.7124338   0.0196271
 24   1.7320508  -3.0000000   0.7260901  -0.6862276   0.0434137
 25   3.4641016  -2.0000000   0.7927964  -0.6010338  -0.1011543
 26   3.4641016  -3.0000000   0.6704852  -0.7418406  -0.0110494
 27   5.1961524  -2.0000000   0.7358328  -0.6753160  -0.0499835
 28   5.1961524  -3.0000000   0.7044453  -0.7052230  -0.0801084
 29   6.9282032  -2.0000000   0.7653393  -0.6410931   0.0570557
 30   6.9282032  -3.0000000   0.5947891  -0.8011778   0.0658788
 31   8.6602540  -2.0000000   0.6743258  -0.7281019   0.1230948
 32   8.6602540  -3.0000000   0.6847171  -0.7257063   0.0671779
 33  10.3923048  -2.0000000   0.7655422  -0.6428080   0.0272600
 34  10.3923048  -3.0000000   0.7367882  -0.6760394  -0.0106765
 35  12.1243557  -2.0000000   0.7944396  -0.6070713   0.0181706
 36  12.1243557  -3.0000000   0.6730165  -0.7392019  -0.0250866
 37  13.8564065  -2.0000000   0.6898738  -0.7149195  -0.1138607
 38  13.8564065  -3.0000000   0.7285474  -0.6849873   0.0033202
 39  15.5884573  -2.0000000   0.7730362  -0.6317085  -0.0579602
 40  -1.7320508  -3.0000000   0.7706594  -0.6248683  -0.1249948
 41  -0.8660254  -3.5000000   0.6158909  -0.7832310   0.0850153
 42  -0.8660254  -4.5000000   0.7253832  -0.6877756   0.0280005
 43   0.8660254  -3.5000000   0.7559939  -0.6431890   0.1215776
 44   0.8660254  -4.5000000   0.7326505  -0.6805993  -0.0027898
 45   2.5980762  -3.5000000   0.5962714  -0.7965789   0.0996122
 46   2.5980762  -4.5000000   0.6815267  -0.7317926  -0.0009543
 47   4.3301270  -3.5000000   0.6849645  -0.7283712   0.0172905
 48   4.3301270  -4.5000000   0.6332644  -0.7734306   0.0279520
 49   6.0621778  -3.5000000   0.6764775  -0.7333044  -0.0681386
 50   6.0621778  -4.5000000   0.6696470  -0.7417552  -0.0370419
 51   7.7942286  -3.5000000   0.7521982  -0.6414375   0.1508502
 52   7.7942286  -4.5000000   0.6444560  -0.7632100   0.0467640
 53   9.5262794  -3.5000000   0.6676928  -0.7411696   0.0696707
 54   9.5262794  -4.5000000   0.6877687  -0.7252420   0.0315964
 55  11.2583302  -3.5000000   0.7330415  -0.6800940  -0.0110586
 56  11.2583302  -4.5000000   0.6868712  -0.7223090   0.0804838
 57  12.9903811  -3.5000000   0.6599817  -0.7512544   0.0064080
 58  12.9903811  -4.5000000   0.7116579  -0.6993691   0.0665277
 59  14.7224319  -3.5000000   0.7066603  -0.7064339   0.0397791
 60  -2.5980762  -4.5000000   0.7808240  -0.6118638  -0.1262403
 61  -1.7320508  -5.0000000   0.6423494  -0.7566661  -0.1218346
 62  -1.7320508  -6.0000000   0.8010447  -0.5984029   0.0155339
 63  -0.0000000  -5.0000000   0.7323171  -0.6768828  -0.0744399
 64  -0.0000000  -6.0000000   0.7471759  -0.6620291  -0.0586993
 65   1.7320508  -5.0000000   0.6492425  -0.7581582   0.0606656
 66   1.7320508  -6.0000000   0.6334645  -0.7722325   0.0487826
 67   3.4641016  -5.0000000   0.6790592  -0.7333461   0.0328960
 68   3.4641016  -6.0000000   0.6782863  -0.7302962   0.0812105
 69   5.1961524  -5.0000000   0.6737470  -0.7327498   0.0956174
 70   5.1961524  -6.0000000   0.7190171  -0.6945762  -0.0240456
 71   6.9282032  -5.0000000   0.7151396  -0.6969486  -0.0532725
 72   6.9282032  -6.0000000   0.6999401  -0.7045904  -0.1167743
 73   8.6602540  -5.0000000   0.7499011  -0.6602820   0.0409393
 74   8.6602540  -6.0000000   0.7367643  -0.6759612   0.0159627
 75  10.3923048  -5.0000000   0.7259932  -0.6867935  -0.0353355
 76  10.3923048  -6.0000000   0.6283447  -0.7779118   0.0060132
 77  12.1243557  -5.0000000   0.6429196  -0.7554039   0.1265676
 78  12.1243557  -6.0000000   0.7082397  -0.7000957  -0.0908988
 79  13.8564065  -5.0000000   0.7857718  -0.6184562   0.0086410
 80  -3.4641016  -6.0000000   0.8261994  -0.5628722  -0.0238627
 81  -2.5980762  -6.5000000   0.7150990  -0.6929247  -0.0921346
 82  -2.5980762  -7.5000000   0.7761908  -0.6292462  -0.0397114
