site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000  -0.5736198   0.8156204  -0.0756557
  2   0.8660254  -1.5000000  -0.4383564   0.8951572  -0.0808532
  3   2.5980762  -0.5000000  -0.4817544   0.8746739   0.0534631
  4   2.5980762  -1.5000000  -0.3618971   0.9308870  -0.0497989
  5   4.3301270  -0.5000000  -0.2659646   0.9614510   0.0698201
  6   4.3301270  -1.5000000  -0.3539414   0.9321822   0.0759063
  7   6.0621778  -0.5000000  -0.3305627   0.9436212  -0.0175341
  8   6.0621778  -1.5000000  -0.4081981   0.9089721  -0.0845222
  9   7.7942286  -0.5000000  -0.4107338   0.8984300  -0.1553104
 10   7.7942286  -1.5000000  -0.3528118   0.9313243  -0.0903260
 11   9.5262794  -0.5000000  -0.4523750   0.8905845   0.0470768
 12   9.5262794  -1.5000000  -0.3190856   0.9324781  -0.1693189
 13  11.2583302  -0.5000000  -0.1998078   0.9462133  -0.2544743
 14  11.2583302  -1.5000000  -0.2637902   0.9601406  -0.0924382
 15  12.9903811  -0.5000000  -0.3293753   0.9342686  -0.1365796
 16  12.9903811  -1.5000000  -0.3166271   0.9326134  -0.1731462
 17  14.7224319  -0.5000000  -0.4317619   0.8943025  -0.1174933
 18  14.7224319  -1.5000000  -0.3662811   0.9188390  -0.1468778
 19  16.4544827  -0.5000000  -0.3883271   0.9194275  -0.0620891
 20  -0.8660254  -1.5000000  -0.2433691   0.9648216  -0.0994527
 21  -0.0000000  -2.0000000  -0.4724468   0.8775012   0.0823755
 22  -0.0000000  -3.0000000  -0.5084319   0.8461569  -0.1597359
 23   1.7320508  -2.0000000  -0.3491554   0.9262113  -0.1422079
 24   1.7320508  -3.0000000  -0.4082368   0.9002540  -0.1512797
 25   3.4641016  -2.0000000  -0.5078955   0.8579554  -0.0771666
 26   3.4641016  -3.0000000  -0.3753910   0.8689477  -0.3225082
 27   5.1961524  -2.0000000  -0.3356041   0.9150696   0.2236461
 28   5.1961524  -3.0000000  -0.2400559   0.9668444  -0.0870924
 29   6.9282032  -2.0000000  -0.3179046   0.9408930  -0.1168632
 30   6.9282032  -3.0000000  -0.3511957   0.8963272  -0.2706643
 31   8.6602540  -2.0000000  -0.2117535   0.9770778   0.0218966
 32   8.6602540  -3.0000000  -0.2413878   0.9623523  -0.1249403
 33  10.3923048  -2.0000000  -0.2996716   0.9504430  -0.0827949
 34  10.3923048  -3.0000000  -0.3398208   0.9123752  -0.2282397
 35  12.1243557  -2.0000000  -0.4579843   0.8889036   0.0100424
 36  12.1243557  -3.0000000  -0.3448022   0.9157384  -0.2062394
 37  13.8564065  -2.0000000  -0.3668632   0.9300938  -0.0183549
 38  13.8564065  -3.0000000  -0.3537476   0.9174915  -0.1818567
 39  15.5884573  -2.0000000  -0.4401667   0.8900103  -0.1188902
 40  -1.7320508  -3.0000000  -0.4414480   0.8949842  -0.0642418
 41  -0.8660254  -3.5000000  -0.3986834   0.9170886   0.0002987
 42  -0.8660254  -4.5000000  -0.3894659   0.9180815   0.0737750
 43   0.8660254  -3.5000000  -0.3568959   0.9308819  -0.0780019
 44   0.8660254  -4.5000000  -0.3833191   0.9070516  -0.1741375
 45   2.5980762  -3.5000000  -0.3571287   0.9301380  -0.0854541
 46   2.5980762  -4.5000000  -0.3806266   0.9010756  -0.2078129
 47   4.3301270  -3.5000000  -0.3261362   0.9428133  -0.0688348
