site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000   0.8964165  -0.4418206   0.0351007
  2   0.8660254  -1.5000000   0.7694192  -0.6093654  -0.1914885
  3   2.5980762  -0.5000000   0.8574774  -0.5117258   0.0535650
  4   2.5980762  -1.5000000   0.8234440  -0.5471455  -0.1502394
  5   4.3301270  -0.5000000   0.8475463  -0.5212600   0.0997663
  6   4.3301270  -1.5000000   0.8847708  -0.4479351  -0.1285878
  7   6.0621778  -0.5000000   0.8237237  -0.5593300  -0.0928936
  8   6.0621778  -1.5000000   0.8541945  -0.5052018  -0.1229754
  9   7.7942286  -0.5000000   0.8072890  -0.5646296  -0.1716913
 10   7.7942286  -1.5000000   0.8504649  -0.5002665  -0.1626125
 11   9.5262794  -0.5000000   0.8044641  -0.5278432   0.2724318
 12   9.5262794  -1.5000000   0.8582329  -0.5092525   0.0640180
 13  11.2583302  -0.5000000   0.8354595  -0.5453842  -0.0675546
 14  11.2583302  -1.5000000   0.8006791  -0.5945120  -0.0739494
 15  12.9903811  -0.5000000   0.7933334  -0.6038160   0.0776425
 16  12.9903811  -1.5000000   0.8196027  -0.5658784   0.0896275
 17  14.7224319  -0.5000000   0.8372442  -0.5435708   0.0596067
 18  14.7224319  -1.5000000   0.9139079  -0.3983402   0.0780860
 19  16.4544827  -0.5000000   0.8990216  -0.4376154  -0.0159028
 20  -0.8660254  -1.5000000   0.7874433  -0.6093053  -0.0931672
 21  -0.0000000  -2.0000000   0.7867829  -0.6132588   0.0699023
 22  -0.0000000  -3.0000000   0.8316949  -0.5538740   0.0388229
 23   1.7320508  -2.0000000   0.7837926  -0.6143289  -0.0909347
 24   1.7320508  -3.0000000   0.8628243  -0.5002230  -0.0728773
 25   3.4641016  -2.0000000   0.8781998  -0.4676477  -0.1003536
 26   3.4641016  -3.0000000   0.8377898  -0.5166200  -0.1766692
 27   5.1961524  -2.0000000   0.8405178  -0.5415374  -0.0163401
 28   5.1961524  -3.0000000   0.7868134  -0.6152686  -0.0486741
 29   6.9282032  -2.0000000   0.8311604  -0.5497042  -0.0836523
 30   6.9282032  -3.0000000   0.8014465  -0.5763798  -0.1595929
 31   8.6602540  -2.0000000   0.7787106  -0.6270711  -0.0197881
 32   8.6602540  -3.0000000   0.8494752  -0.5268319   0.0289822
 33  10.3923048  -2.0000000   0.8265367  -0.5622875   0.0258829
 34  10.3923048  -3.0000000   0.8833498  -0.4684567   0.0155377
 35  12.1243557  -2.0000000   0.8419188  -0.5328923  -0.0848441
 36  12.1243557  -3.0000000   0.8858000  -0.3850508  -0.2590254
 37  13.8564065  -2.0000000   0.8703917  -0.4913367  -0.0317272
 38  13.8564065  -3.0000000   0.9060974  -0.3684421  -0.2079373
 39  15.5884573  -2.0000000   0.6939520  -0.7195137   0.0270314
 40  -1.7320508  -3.0000000   0.7361871  -0.6716257  -0.0833517
 41  -0.8660254  -3.5000000   0.8087340  -0.5877721  -0.0217555
 42  -0.8660254  -4.5000000   0.8383697  -0.5448902   0.0151956
 43   0.8660254  -3.5000000   0.7917949  -0.6028558   0.0981102
 44   0.8660254  -4.5000000   0.8228987  -0.5681550  -0.0061376
 45   2.5980762  -3.5000000   0.7917409  -0.5654022  -0.2312286
 46   2.5980762  -4.5000000   0.8678595  -0.4770319  -0.1387818
 47   4.3301270  -3.5000000   0.8197429  -0.5603450  -0.1184701
 48   4.3301270  -4.5000000   0.8582965  -0.5038722  -0.0971591
 49   6.0621778  -3.5000000   0.8347219  -0.5468678   0.0646132
 50   6.0621778  -4.5000000   0.7460692  -0.6602279  -0.0864857
 51   7.7942286  -3.5000000   0.8812856  -0.4311111  -0.1935947
 52   7.7942286  -4.5000000   0.8136386  -0.5640319  -0.1409260
 53   9.5262794  -3.5000000   0.8846354  -0.4635152  -0.0507331
 54   9.5262794  -4.5000000   0.8780662  -0.4782076  -0.0178097
 55  11.2583302  -3.5000000   0.8438193  -0.5354458  -0.0355907
 56  11.2583302  -4.5000000   0.8767119  -0.4800055   0.0311609
 57  12.9903811  -3.5000000   0.8423728  -0.5239157  -0.1261759
 58  12.9903811  -4.5000000   0.8729702  -0.4760245  -0.1064128
 59  14.7224319  -3.5000000   0.8108565  -0.5844874  -0.0297709
 60  -2.5980762  -4.5000000   0.8658599  -0.4995475   0.0271839
 61  -1.7320508  -5.0000000   0.8422817  -0.5376817  -0.0382090
 62  -1.7320508  -6.0000000   0.7632437  -0.6452149  -0.0340121
 63  -0.0000000  -5.0000000   0.8449530  -0.5345565  -0.0174291
