site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000   0.9516221  -0.2643228  -0.1566804
  2   0.8660254  -1.5000000   0.9122751  -0.3019223  -0.2767618
  3   2.5980762  -0.5000000   0.9002163  -0.3688320  -0.2314596
  4   2.5980762  -1.5000000   0.9499959  -0.2201342  -0.2214696
  5   4.3301270  -0.5000000   0.9316800  -0.3632758  -0.0017614
  6   4.3301270  -1.5000000   0.9493196  -0.2867090  -0.1288033
  7   6.0621778  -0.5000000   0.9530833  -0.2736491   0.1294155
  8   6.0621778  -1.5000000   0.9083474  -0.4092235  -0.0862616
  9   7.7942286  -0.5000000   0.9714917  -0.2153485  -0.0991403
 10   7.7942286  -1.5000000   0.9173361  -0.3480220  -0.1933269
 11   9.5262794  -0.5000000   0.9559642  -0.2933912  -0.0073463
 12   9.5262794  -1.5000000   0.9128676  -0.3565135  -0.1989242
 13  11.2583302  -0.5000000   0.9854030  -0.1640179  -0.0455976
 14  11.2583302  -1.5000000   0.9038302  -0.4120329  -0.1154116
 15  12.9903811  -0.5000000   0.9591871  -0.2807458  -0.0337935
 16  12.9903811  -1.5000000   0.9104519  -0.1762323  -0.3741917
 17  14.7224319  -0.5000000   0.9628515  -0.2679044  -0.0338259
 18  14.7224319  -1.5000000   0.9851548  -0.1139572  -0.1283889
 19  16.4544827  -0.5000000   0.9823456  -0.1757926  -0.0639844
 20  -0.8660254  -1.5000000   0.9114427  -0.3811264  -0.1549672
 21  -0.0000000  -2.0000000   0.9192825  -0.3860182  -0.0768739
 22  -0.0000000  -3.0000000   0.9368495  -0.3021272  -0.1761593
 23   1.7320508  -2.0000000   0.9908992  -0.0775408  -0.1100282
 24   1.7320508  -3.0000000   0.8892918  -0.2925682  -0.3515166
 25   3.4641016  -2.0000000   0.9218223  -0.3332581  -0.1979462
 26   3.4641016  -3.0000000   0.9008512  -0.2988492  -0.3148909
 27   5.1961524  -2.0000000   0.9188740  -0.3581506  -0.1655255
 28   5.1961524  -3.0000000   0.9494288  -0.3011345  -0.0888985
 29   6.9282032  -2.0000000   0.9298380  -0.3627176  -0.0619448
 30   6.9282032  -3.0000000   0.8910087  -0.4374711  -0.1213364
 31   8.6602540  -2.0000000   0.9640006  -0.2065616  -0.1674367
 32   8.6602540  -3.0000000   0.9428510  -0.2997624  -0.1455146
 33  10.3923048  -2.0000000   0.9487989  -0.3141645   0.0328846
 34  10.3923048  -3.0000000   0.9584468  -0.2850519  -0.0111829
 35  12.1243557  -2.0000000   0.9670333  -0.1219765  -0.2235358
 36  12.1243557  -3.0000000   0.9213742  -0.1545697  -0.3566200
 37  13.8564065  -2.0000000   0.9851565  -0.1071391  -0.1341192
 38  13.8564065  -3.0000000   0.9358568  -0.3240638  -0.1384003
 39  15.5884573  -2.0000000   0.8790977  -0.4605077  -0.1229631
 40  -1.7320508  -3.0000000   0.9658936  -0.1952267  -0.1701061
 41  -0.8660254  -3.5000000   0.9827700  -0.1653061  -0.0826859
 42  -0.8660254  -4.5000000   0.9606853  -0.2764822  -0.0253235
 43   0.8660254  -3.5000000   0.9674098  -0.2514871  -0.0295371
 44   0.8660254  -4.5000000   0.9261903  -0.3349296  -0.1731866
 45   2.5980762  -3.5000000   0.9501697  -0.2374433  -0.2019856
 46   2.5980762  -4.5000000   0.9306446  -0.3376103  -0.1411377
 47   4.3301270  -3.5000000   0.9352613  -0.3004294  -0.1871588
 48   4.3301270  -4.5000000   0.9352869  -0.2607871  -0.2392248
 49   6.0621778  -3.5000000   0.9679888  -0.2438751  -0.0593519
 50   6.0621778  -4.5000000   0.9398396  -0.3205961  -0.1179817
 51   7.7942286  -3.5000000   0.9076669  -0.3228299  -0.2681821
 52   7.7942286  -4.5000000   0.9364643  -0.2827445  -0.2075815
 53   9.5262794  -3.5000000   0.9207640  -0.3253928  -0.2152048
 54   9.5262794  -4.5000000   0.9715777   0.0838169  -0.2213855
 55  11.2583302  -3.5000000   0.9924880  -0.0956140  -0.0763258
 56  11.2583302  -4.5000000   0.9767491  -0.1197800  -0.1778031
 57  12.9903811  -3.5000000   0.9485944  -0.2715336  -0.1625982
 58  12.9903811  -4.5000000   0.9683707  -0.1934919  -0.1575406
 59  14.7224319  -3.5000000   0.9851723  -0.1668467   0.0399727
 60  -2.5980762  -4.5000000   0.9810954  -0.1820195  -0.0657317
 61  -1.7320508  -5.0000000   0.9660124  -0.2343380  -0.1091137
 62  -1.7320508  -6.0000000   0.9537728  -0.2226973  -0.2018001
 63  -0.0000000  -5.0000000   0.8959713  -0.4337851   0.0952148
 64  -0.0000000  -6.0000000   0.8993161  -0.3999156  -0.1769124
 65   1.7320508  -5.0000000   0.9639705  -0.2630601  -0.0394994
 66   1.7320508  -6.0000000   0.9492116  -0.2854938  -0.1322518
 67   3.4641016  -5.0000000   0.9669656  -0.2379469  -0.0914270
 68   3.4641016  -6.0000000   0.9198069  -0.1878325  -0.3444911
 69   5.1961524  -5.0000000   0.9298511  -0.3530209  -0.1036971
 70   5.1961524  -6.0000000   0.9327814  -0.3240580  -0.1578141
 71   6.9282032  -5.0000000   0.9772663  -0.2116544   0.0123728
 72   6.9282032  -6.0000000   0.9290549  -0.3170881  -0.1905573
 73   8.6602540  -5.0000000   0.9959413  -0.0342069  -0.0832513
 74   8.6602540  -6.0000000   0.9339555  -0.2784464  -0.2240419
 75  10.3923048  -5.0000000   0.9415267  -0.3320203  -0.0573587
 76  10.3923048  -6.0000000   0.9403937  -0.3226602  -0.1074717
 77  12.1243557  -5.0000000   0.9746784  -0.2232700   0.0123484
 78  12.1243557  -6.0000000   0.9412689  -0.3318581  -0.0623147
 79  13.8564065  -5.0000000   0.9515497  -0.2737161  -0.1401168
 80  -3.4641016  -6.0000000   0.9629778  -0.2365138  -0.1293638
 81  -2.5980762  -6.5000000   0.9722669  -0.2205722  -0.0777492
 82  -2.5980762  -7.5000000   0.9138040  -0.3813260  -0.1398312
 83  -0.8660254  -6.5000000   0.9124750  -0.4016748  -0.0777606
 84  -0.8660254  -7.5000000   0.9523382  -0.2495418  -0.1754447
 85   0.8660254  -6.5000000   0.9643043  -0.2408923  -0.1099456
 86   0.8660254  -7.5000000   0.9573258  -0.2612129  -0.1236736
 87   2.5980762  -6.5000000   0.9606041  -0.1850615  -0.2073452
 88   2.5980762  -7.5000000   0.9340144  -0.1743768  -0.3117849
 89   4.3301270  -6.5000000   0.9633816  -0.1618874  -0.2137482
 90   4.3301270  -7.5000000   0.9562612  -0.2858874  -0.0619105
 91   6.0621778  -6.5000000   0.9253192  -0.3762046  -0.0474815
 92   6.0621778  -7.5000000   0.9468982  -0.3052486  -0.1010306
 93   7.7942286  -6.5000000   0.9624641  -0.2589906  -0.0811584
 94   7.7942286  -7.5000000   0.9697855  -0.2408116  -0.0390619
 95   9.5262794  -6.5000000   0.9174421  -0.3867289  -0.0934921
 96   9.5262794  -7.5000000   0.9590608  -0.2500409  -0.1329738
 97  11.2583302  -6.5000000   0.9477514  -0.3178258  -0.0274597
 98  11.2583302  -7.5000000   0.9096681  -0.3934429  -0.1330659
 99  12.9903811  -6.5000000   0.9677032  -0.2025391  -0.1500947
100  -4.3301270  -7.5000000   0.9779969  -0.1194651  -0.1710268
101  -3.4641016  -8.0000000   0.9334516  -0.3585610   0.0101007
102  -3.4641016  -9.0000000   0.9680700  -0.1969314  -0.1551079
103  -1.7320508  -8.0000000   0.9655736  -0.2596254   0.0161942
104  -1.7320508  -9.0000000   0.9768489  -0.1998265  -0.0763908
105  -0.0000000  -8.0000000   0.9182274  -0.3810173  -0.1080935
106  -0.0000000  -9.0000000   0.9178270  -0.2719930  -0.2891599
107   1.7320508  -8.0000000   0.9897825  -0.0994514  -0.1021767
108   1.7320508  -9.0000000   0.8937624  -0.3099992  -0.3241746
109   3.4641016  -8.0000000   0.9754445  -0.1564277  -0.1550430
110   3.4641016  -9.0000000   0.9197865  -0.3349851  -0.2043963
111   5.1961524  -8.0000000   0.9595453  -0.2779289  -0.0450372
112   5.1961524  -9.0000000   0.9878130  -0.0880359  -0.1283553
113   6.9282032  -8.0000000   0.9474622  -0.3167199  -0.0447661
114   6.9282032  -9.0000000   0.9591822  -0.2514766  -0.1293404
115   8.6602540  -8.0000000   0.9468160  -0.3203338  -0.0304266
116   8.6602540  -9.0000000   0.9210128  -0.1556516  -0.3570827
117  10.3923048  -8.0000000   0.9720111  -0.2076343   0.1099202
118  10.3923048  -9.0000000   0.9769260  -0.2007570  -0.0728844
119  12.1243557  -8.0000000   0.9925883  -0.0472143  -0.1119789
120  -5.1961524  -9.0000000   0.8606633  -0.3842574  -0.3340732
121  -4.3301270  -9.5000000   0.9371972  -0.2194962  -0.2710773
122  -4.3301270 -10.5000000   0.8755531  -0.2931873  -0.3839895
123  -2.5980762  -9.5000000   0.9650632  -0.2615569   0.0155271
124  -2.5980762 -10.5000000   0.9272551  -0.3299334  -0.1770366
125  -0.8660254  -9.5000000   0.9663722  -0.2535516  -0.0428534
126  -0.8660254 -10.5000000   0.9297589  -0.3637023  -0.0571745
127   0.8660254  -9.5000000   0.9550519  -0.2638239  -0.1351768
128   0.8660254 -10.5000000   0.9781925  -0.1977797  -0.0634240
129   2.5980762  -9.5000000   0.9037240  -0.3439515  -0.2549122
130   2.5980762 -10.5000000   0.9069943  -0.1568885  -0.3908290
131   4.3301270  -9.5000000   0.9882907  -0.1135049  -0.1019712
132   4.3301270 -10.5000000   0.8816835  -0.2818774  -0.3783905
133   6.0621778  -9.5000000   0.9671383  -0.2038516  -0.1519476
134   6.0621778 -10.5000000   0.9674362  -0.1906333  -0.1665117
135   7.7942286  -9.5000000   0.9959082  -0.0802722   0.0415123
136   7.7942286 -10.5000000   0.9668809  -0.2079267  -0.1480132
137   9.5262794  -9.5000000   0.9324522  -0.2235229  -0.2838492
138   9.5262794 -10.5000000   0.9529814  -0.2190364  -0.2094027
139  11.2583302  -9.5000000   0.9495494  -0.3085874   0.0559448
140  -6.0621778 -10.5000000   0.9266936  -0.3118688  -0.2097066
141  -5.1961524 -11.0000000   0.9753330  -0.1585235  -0.1536091
142  -5.1961524 -12.0000000   0.9128277  -0.3349695  -0.2335401
143  -3.4641016 -11.0000000   0.9469225  -0.2759941  -0.1648181
144  -3.4641016 -12.0000000   0.9566728   0.0957247  -0.2749798
145  -1.7320508 -11.0000000   0.9286634  -0.3707461  -0.0114705
146  -1.7320508 -12.0000000   0.8822295  -0.4707992  -0.0043814
147  -0.0000000 -11.0000000   0.9791768  -0.1259727  -0.1591968
148  -0.0000000 -12.0000000   0.9087897  -0.3109010  -0.2782839
149   1.7320508 -11.0000000   0.9555978  -0.2605694  -0.1376095
150   1.7320508 -12.0000000   0.9593630  -0.2188369  -0.1781374
151   3.4641016 -11.0000000   0.9461788  -0.3231141  -0.0185213
152   3.4641016 -12.0000000   0.8416386  -0.5249027  -0.1269710
153   5.1961524 -11.0000000   0.9430640  -0.2645953  -0.2015429
154   5.1961524 -12.0000000   0.9230487  -0.2852162  -0.2581334
155   6.9282032 -11.0000000   0.9564871  -0.2756308  -0.0957082
156   6.9282032 -12.0000000   0.9514254  -0.1778594  -0.2513082
157   8.6602540 -11.0000000   0.9610958  -0.2224086  -0.1637967
158   8.6602540 -12.0000000   0.8961785  -0.3000360  -0.3268678
159  10.3923048 -11.0000000   0.9401352  -0.3151001  -0.1298373
160  -6.9282032 -12.0000000   0.9545456  -0.2436371  -0.1717083
161  -6.0621778 -12.5000000   0.9507977  -0.3019204  -0.0694819
162  -6.0621778 -13.5000000   0.9612257  -0.2753838   0.0144551
163  -4.3301270 -12.5000000   0.9925810  -0.0404791  -0.1146494
164  -4.3301270 -13.5000000   0.9526160  -0.1205146  -0.2792830
165  -2.5980762 -12.5000000   0.8798109  -0.4690142   0.0771917
166  -2.5980762 -13.5000000   0.9161217  -0.3959157  -0.0630224
167  -0.8660254 -12.5000000   0.9534404  -0.2991400   0.0382980
168  -0.8660254 -13.5000000   0.9563351  -0.2494399  -0.1523247
169   0.8660254 -12.5000000   0.9369330  -0.3435416  -0.0643097
170   0.8660254 -13.5000000   0.9342363  -0.3083195  -0.1792810
171   2.5980762 -12.5000000   0.9032645  -0.4287356  -0.0172904
172   2.5980762 -13.5000000   0.9141094  -0.3727922  -0.1594679
173   4.3301270 -12.5000000   0.9717221  -0.2358100  -0.0122383
174   4.3301270 -13.5000000   0.9089284  -0.3908026  -0.1453359
175   6.0621778 -12.5000000   0.9900383  -0.1323945  -0.0479157
176   6.0621778 -13.5000000   0.9269518  -0.3310157  -0.1766038
177   7.7942286 -12.5000000   0.9682838  -0.2317308  -0.0934200
178   7.7942286 -13.5000000   0.9486495  -0.2465231  -0.1982185
179   9.5262794 -12.5000000   0.9356140  -0.2633261  -0.2351292
180  -7.7942286 -13.5000000   0.9491068  -0.2019024  -0.2417265
181  -6.9282032 -14.0000000   0.9768849  -0.1916063  -0.0947785
182  -6.9282032 -15.0000000   0.9224070  -0.2849884  -0.2606664
183  -5.1961524 -14.0000000   0.9578441  -0.2744718   0.0848522
184  -5.1961524 -15.0000000   0.9360318  -0.3486942  -0.0475049
185  -3.4641016 -14.0000000   0.8990244  -0.4127524  -0.1462552
186  -3.4641016 -15.0000000   0.9543948  -0.2905768  -0.0685249
187  -1.7320508 -14.0000000   0.9946695  -0.0869842   0.0553741
188  -1.7320508 -15.0000000   0.8853674  -0.3814244  -0.2657818
189  -0.0000000 -14.0000000   0.9555465  -0.2935942  -0.0270808
190  -0.0000000 -15.0000000   0.9720401  -0.2332585   0.0269928
191   1.7320508 -14.0000000   0.9279294  -0.3724341   0.0154851
192   1.7320508 -15.0000000   0.9693665  -0.2222793  -0.1045011
193   3.4641016 -14.0000000   0.9449392  -0.2447033  -0.2172792
194   3.4641016 -15.0000000   0.9494357  -0.2981303  -0.0984386
195   5.1961524 -14.0000000   0.9563555  -0.2889918  -0.0432190
196   5.1961524 -15.0000000   0.9420575  -0.3073719  -0.1343506
197   6.9282032 -14.0000000   0.9509681  -0.2670313  -0.1560573
198   6.9282032 -15.0000000   0.9486602  -0.2777087  -0.1513994
199   8.6602540 -14.0000000   0.9788972  -0.1224952  -0.1635699
200  -8.6602540 -15.0000000   0.9435546  -0.2291581  -0.2391468
