site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000   0.9918000  -0.0080426  -0.1275461
  2   0.8660254  -1.5000000   0.9275664  -0.2637844  -0.2646478
  3   2.5980762  -0.5000000   0.9570885  -0.2685517   0.1089108
  4   2.5980762  -1.5000000   0.9404833  -0.3203825  -0.1133408
  5   4.3301270  -0.5000000   0.9584702  -0.2315721  -0.1664607
  6   4.3301270  -1.5000000   0.9118882  -0.3278996  -0.2468638
  7   6.0621778  -0.5000000   0.9385566  -0.2468222  -0.2412269
  8   6.0621778  -1.5000000   0.9650502  -0.0996791  -0.2423679
  9   7.7942286  -0.5000000   0.9312773  -0.3061301  -0.1975016
 10   7.7942286  -1.5000000   0.9330750  -0.3245004  -0.1551466
 11   9.5262794  -0.5000000   0.9759909  -0.2152524  -0.0332903
 12   9.5262794  -1.5000000   0.9909812  -0.1283060  -0.0386508
 13  11.2583302  -0.5000000   0.9736591  -0.1903458  -0.1255248
 14  11.2583302  -1.5000000   0.9421682  -0.2932650  -0.1622181
 15  12.9903811  -0.5000000   0.9631351  -0.2688335  -0.0099665
 16  12.9903811  -1.5000000   0.9480012  -0.2443604  -0.2039161
 17  14.7224319  -0.5000000   0.9387753  -0.2727852  -0.2104500
 18  14.7224319  -1.5000000   0.8988169  -0.3542441  -0.2581460
 19  16.4544827  -0.5000000   0.9906637  -0.1098683  -0.0807121
 20  -0.8660254  -1.5000000   0.9644234  -0.1859317  -0.1879279
 21  -0.0000000  -2.0000000   0.9758195  -0.1430215  -0.1652910
 22  -0.0000000  -3.0000000   0.9278681  -0.1752860  -0.3291438
 23   1.7320508  -2.0000000   0.9210384  -0.3256183  -0.2136841
 24   1.7320508  -3.0000000   0.9362001  -0.2230390  -0.2716300
 25   3.4641016  -2.0000000   0.9885896  -0.1389855  -0.0580827
 26   3.4641016  -3.0000000   0.9044034  -0.3447704  -0.2513720
 27   5.1961524  -2.0000000   0.9811912  -0.0307613  -0.1905717
 28   5.1961524  -3.0000000   0.9523859  -0.0210265  -0.3041692
 29   6.9282032  -2.0000000   0.9254899  -0.3729594  -0.0661042
 30   6.9282032  -3.0000000   0.9323003  -0.3573908  -0.0555701
 31   8.6602540  -2.0000000   0.9549456  -0.2871572  -0.0749640
 32   8.6602540  -3.0000000   0.9324498  -0.3300342  -0.1470199
 33  10.3923048  -2.0000000   0.9705032  -0.2064791  -0.1244586
 34  10.3923048  -3.0000000   0.9329420  -0.2499988  -0.2590748
 35  12.1243557  -2.0000000   0.9414081  -0.3094408  -0.1341536
 36  12.1243557  -3.0000000   0.9365479  -0.2390559  -0.2563792
 37  13.8564065  -2.0000000   0.8956861  -0.4388296  -0.0719372
 38  13.8564065  -3.0000000   0.9230931  -0.3702963  -0.1038255
 39  15.5884573  -2.0000000   0.9688168  -0.2463973  -0.0261221
 40  -1.7320508  -3.0000000   0.9080418  -0.4136894  -0.0657356
 41  -0.8660254  -3.5000000   0.9876325  -0.1521752   0.0377451
 42  -0.8660254  -4.5000000   0.9956297  -0.0471902   0.0805891
 43   0.8660254  -3.5000000   0.9177804  -0.2474888  -0.3105293
 44   0.8660254  -4.5000000   0.9594702  -0.2698589  -0.0811973
 45   2.5980762  -3.5000000   0.9751816  -0.1602377  -0.1527896
 46   2.5980762  -4.5000000   0.9297058  -0.3072382  -0.2031055
 47   4.3301270  -3.5000000   0.9985292  -0.0542109   0.0007710
 48   4.3301270  -4.5000000   0.9295616  -0.3093948  -0.2004748
 49   6.0621778  -3.5000000   0.9609962  -0.1374038  -0.2400135
 50   6.0621778  -4.5000000   0.9216985  -0.1182006  -0.3694597
 51   7.7942286  -3.5000000   0.9148116  -0.3788586  -0.1399494
 52   7.7942286  -4.5000000   0.9626912  -0.2149275  -0.1644137
 53   9.5262794  -3.5000000   0.9516589  -0.3010362  -0.0610132
 54   9.5262794  -4.5000000   0.9672980  -0.1804068  -0.1782916
 55  11.2583302  -3.5000000   0.9576156  -0.2658256  -0.1109468
 56  11.2583302  -4.5000000   0.9527631  -0.2946335  -0.0737129
 57  12.9903811  -3.5000000   0.9073079  -0.3904247  -0.1560798
 58  12.9903811  -4.5000000   0.9064714  -0.4003228  -0.1343548
 59  14.7224319  -3.5000000   0.8720575  -0.4833677  -0.0766250
 60  -2.5980762  -4.5000000   0.9465475  -0.2291206  -0.2270499
 61  -1.7320508  -5.0000000   0.9897652   0.0143752  -0.1419794
 62  -1.7320508  -6.0000000   0.8971676  -0.2115329  -0.3877422
 63  -0.0000000  -5.0000000   0.9781591  -0.1964870  -0.0678063
 64  -0.0000000  -6.0000000   0.9560550  -0.2820759  -0.0799501
 65   1.7320508  -5.0000000   0.9709798  -0.2391288   0.0039663
 66   1.7320508  -6.0000000   0.9845861  -0.1465849  -0.0954105
 67   3.4641016  -5.0000000   0.9706144  -0.2203697  -0.0966692
 68   3.4641016  -6.0000000   0.9474584  -0.2325194  -0.2196756
 69   5.1961524  -5.0000000   0.9763281  -0.2136731   0.0335732
 70   5.1961524  -6.0000000   0.9596461  -0.2774183   0.0460271
 71   6.9282032  -5.0000000   0.9678467  -0.1546583  -0.1983771
 72   6.9282032  -6.0000000   0.9619551  -0.0865646  -0.2591312
 73   8.6602540  -5.0000000   0.9785980  -0.2056408  -0.0076063
 74   8.6602540  -6.0000000   0.9163925  -0.3630875  -0.1684998
 75  10.3923048  -5.0000000   0.9178191  -0.3880248  -0.0839335
 76  10.3923048  -6.0000000   0.8968162  -0.3855816  -0.2169044
 77  12.1243557  -5.0000000   0.9264347  -0.3551585  -0.1248246
 78  12.1243557  -6.0000000   0.9638471  -0.2535442  -0.0819403
 79  13.8564065  -5.0000000   0.9690443  -0.2444667   0.0344846
 80  -3.4641016  -6.0000000   0.9054404  -0.3500711  -0.2400581
 81  -2.5980762  -6.5000000   0.9275075  -0.3738035   0.0009123
 82  -2.5980762  -7.5000000   0.9549129  -0.2807320  -0.0965966
 83  -0.8660254  -6.5000000   0.8739622  -0.4845689  -0.0371886
 84  -0.8660254  -7.5000000   0.9335053  -0.2699309  -0.2360195
 85   0.8660254  -6.5000000   0.9711954  -0.2075784  -0.1170074
 86   0.8660254  -7.5000000   0.9355732  -0.1422812  -0.3232010
 87   2.5980762  -6.5000000   0.9713282  -0.2329835  -0.0473310
 88   2.5980762  -7.5000000   0.9120209  -0.3823395  -0.1484400
 89   4.3301270  -6.5000000   0.9081040  -0.3875362  -0.1586278
 90   4.3301270  -7.5000000   0.9516343  -0.2510400  -0.1771190
 91   6.0621778  -6.5000000   0.9803425   0.1497988  -0.1284094
 92   6.0621778  -7.5000000   0.9552575  -0.1759668  -0.2377367
 93   7.7942286  -6.5000000   0.9754432  -0.1442761  -0.1664180
 94   7.7942286  -7.5000000   0.9849008  -0.1548768  -0.0773536
 95   9.5262794  -6.5000000   0.9822923  -0.1604528  -0.0967306
 96   9.5262794  -7.5000000   0.9028102  -0.3210194  -0.2861474
 97  11.2583302  -6.5000000   0.9149134  -0.3378619  -0.2208685
 98  11.2583302  -7.5000000   0.9529201  -0.1858719  -0.2395725
 99  12.9903811  -6.5000000   0.9534940  -0.2465192  -0.1734284
100  -4.3301270  -7.5000000   0.9596643  -0.0772581  -0.2703251
101  -3.4641016  -8.0000000   0.9796122  -0.1190444  -0.1618285
102  -3.4641016  -9.0000000   0.9622152  -0.1260603  -0.2413519
103  -1.7320508  -8.0000000   0.9706149  -0.2382481  -0.0338306
104  -1.7320508  -9.0000000   0.9315985  -0.3044219  -0.1986242
105  -0.0000000  -8.0000000   0.9612867  -0.1218951  -0.2471224
106  -0.0000000  -9.0000000   0.9249839  -0.2834482  -0.2531045
107   1.7320508  -8.0000000   0.9052204  -0.3898275  -0.1691466
108   1.7320508  -9.0000000   0.9721171  -0.1922046  -0.1343344
109   3.4641016  -8.0000000   0.9615198  -0.2684695  -0.0583429
110   3.4641016  -9.0000000   0.9594608  -0.1001910  -0.2634325
111   5.1961524  -8.0000000   0.9696738  -0.1876505  -0.1565889
112   5.1961524  -9.0000000   0.9203008  -0.2366120  -0.3115464
113   6.9282032  -8.0000000   0.9751205  -0.1591650  -0.1542937
114   6.9282032  -9.0000000   0.9581256  -0.0960902  -0.2697445
115   8.6602540  -8.0000000   0.9514807  -0.2952949  -0.0865187
116   8.6602540  -9.0000000   0.9327100  -0.2603850  -0.2495029
117  10.3923048  -8.0000000   0.9639441  -0.1925000  -0.1837270
118  10.3923048  -9.0000000   0.9461267  -0.1078525  -0.3053066
119  12.1243557  -8.0000000   0.9810016  -0.1530365  -0.1192292
120  -5.1961524  -9.0000000   0.8775293  -0.3575172  -0.3195682
121  -4.3301270  -9.5000000   0.9597426  -0.2785295   0.0362683
122  -4.3301270 -10.5000000   0.9266532  -0.3635213  -0.0957396
123  -2.5980762  -9.5000000   0.9657436  -0.2332664  -0.1136928
124  -2.5980762 -10.5000000   0.9273802  -0.3179551  -0.1971560
125  -0.8660254  -9.5000000   0.9847416  -0.1660658  -0.0520209
126  -0.8660254 -10.5000000   0.9255518  -0.3470791  -0.1512945
127   0.8660254  -9.5000000   0.9477859  -0.1580822  -0.2769691
128   0.8660254 -10.5000000   0.9708065   0.0748865  -0.2278743
129   2.5980762  -9.5000000   0.9924127   0.0027557  -0.1229202
130   2.5980762 -10.5000000   0.9334539  -0.1456722  -0.3277857
131   4.3301270  -9.5000000   0.9322038  -0.3101154  -0.1866133
132   4.3301270 -10.5000000   0.9849984  -0.0410263  -0.1676154
133   6.0621778  -9.5000000   0.9919111  -0.1003005  -0.0777959
134   6.0621778 -10.5000000   0.8989747  -0.3072198  -0.3121867
135   7.7942286  -9.5000000   0.8918942  -0.4141430  -0.1816874
136   7.7942286 -10.5000000   0.9004880  -0.4139135  -0.1334050
137   9.5262794  -9.5000000   0.9772160  -0.0719934  -0.1996641
138   9.5262794 -10.5000000   0.9431696  -0.2601762  -0.2067354
139  11.2583302  -9.5000000   0.9232854  -0.3174848  -0.2162115
140  -6.0621778 -10.5000000   0.9906577  -0.1278146  -0.0475468
141  -5.1961524 -11.0000000   0.9298327  -0.3664831  -0.0331871
142  -5.1961524 -12.0000000   0.9668141  -0.0594594  -0.2484653
143  -3.4641016 -11.0000000   0.9270373  -0.3638978   0.0904447
144  -3.4641016 -12.0000000   0.9845126  -0.1396171  -0.1060279
145  -1.7320508 -11.0000000   0.9577717  -0.2871160  -0.0154221
146  -1.7320508 -12.0000000   0.9368816  -0.2853502  -0.2020596
147  -0.0000000 -11.0000000   0.9950561  -0.0214376  -0.0969727
148  -0.0000000 -12.0000000   0.9084839  -0.1028886  -0.4050568
149   1.7320508 -11.0000000   0.9634638  -0.2350013  -0.1284984
150   1.7320508 -12.0000000   0.9033163  -0.3862993  -0.1865277
151   3.4641016 -11.0000000   0.9384364  -0.1221719  -0.3231272
152   3.4641016 -12.0000000   0.9199222  -0.2424453  -0.3081614
153   5.1961524 -11.0000000   0.9449385  -0.2860954  -0.1588732
154   5.1961524 -12.0000000   0.9465804  -0.2255713  -0.2304413
155   6.9282032 -11.0000000   0.8838208  -0.4159512  -0.2141152
156   6.9282032 -12.0000000   0.8939138  -0.2945394  -0.3378827
157   8.6602540 -11.0000000   0.9904350  -0.1349407   0.0288017
158   8.6602540 -12.0000000   0.9419580  -0.2085418  -0.2631073
159  10.3923048 -11.0000000   0.9716231  -0.1164768  -0.2058682
160  -6.9282032 -12.0000000   0.8840638  -0.3501815  -0.3095225
161  -6.0621778 -12.5000000   0.9222961  -0.1327936  -0.3629542
162  -6.0621778 -13.5000000   0.8861355  -0.3261593  -0.3292171
163  -4.3301270 -12.5000000   0.9741234  -0.2044920  -0.0962634
164  -4.3301270 -13.5000000   0.9714817  -0.0101805  -0.2368960
165  -2.5980762 -12.5000000   0.9693455  -0.1925258  -0.1526538
166  -2.5980762 -13.5000000   0.9543533  -0.1926248  -0.2282662
167  -0.8660254 -12.5000000   0.9794743  -0.2001116   0.0241978
168  -0.8660254 -13.5000000   0.8559956  -0.4979135  -0.1391176
169   0.8660254 -12.5000000   0.9104424  -0.3777720  -0.1684725
170   0.8660254 -13.5000000   0.9644757  -0.1606352  -0.2097209
171   2.5980762 -12.5000000   0.9516964  -0.2769301  -0.1326035
172   2.5980762 -13.5000000   0.9946163  -0.0175258  -0.1021336
173   4.3301270 -12.5000000   0.9872289  -0.0640720  -0.1458558
174   4.3301270 -13.5000000   0.9574406  -0.1878898  -0.2191004
175   6.0621778 -12.5000000   0.9135054  -0.3530095  -0.2022183
176   6.0621778 -13.5000000   0.9497415  -0.2680882  -0.1616163
177   7.7942286 -12.5000000   0.9550107  -0.2835483  -0.0869191
178   7.7942286 -13.5000000   0.9592115  -0.2180180  -0.1799483
179   9.5262794 -12.5000000   0.9376731  -0.3393525  -0.0748929
180  -7.7942286 -13.5000000   0.8992524  -0.3588122  -0.2501976
181  -6.9282032 -14.0000000   0.9436330  -0.3262815  -0.0556520
182  -6.9282032 -15.0000000   0.9852533  -0.0335787  -0.1677750
183  -5.1961524 -14.0000000   0.9895602   0.0325312  -0.1404004
184  -5.1961524 -15.0000000   0.8816793  -0.3111471  -0.3547240
185  -3.4641016 -14.0000000   0.9585186  -0.2734732  -0.0803401
186  -3.4641016 -15.0000000   0.8870196  -0.3812406  -0.2604837
187  -1.7320508 -14.0000000   0.8817434  -0.4655868  -0.0758777
188  -1.7320508 -15.0000000   0.9684552  -0.2230024  -0.1111951
189  -0.0000000 -14.0000000   0.9840198  -0.1738969   0.0382751
190  -0.0000000 -15.0000000   0.9631139  -0.1953111  -0.1851086
191   1.7320508 -14.0000000   0.9896430  -0.0095074  -0.1432355
192   1.7320508 -15.0000000   0.9441294  -0.1670852  -0.2840812
193   3.4641016 -14.0000000   0.9945845  -0.0736043  -0.0733769
194   3.4641016 -15.0000000   0.9333577  -0.2376603  -0.2690001
195   5.1961524 -14.0000000   0.9454983  -0.3215989  -0.0510594
196   5.1961524 -15.0000000   0.9275072  -0.2679119  -0.2606790
197   6.9282032 -14.0000000   0.9882923  -0.1310469   0.0781349
198   6.9282032 -15.0000000   0.9556418  -0.2811476  -0.0877769
199   8.6602540 -14.0000000   0.9064337  -0.4179370  -0.0608821
200  -8.6602540 -15.0000000   0.9771240  -0.0804552  -0.1968644
