theta 	 taux 	 tauy 	  tauz  	 tau_perp 	  mx error	 my error 	 mz error
  1.73  -0.1204053   0.2895597  -0.0277471   0.1220186   0.0000192   0.0000295   0.0000346
  1.76  -0.0959424   0.2951159  -0.0314187   0.1432552   0.0000196   0.0000302   0.0000271
  1.79  -0.0694478   0.2969768  -0.0346034   0.1632205   0.0000190   0.0000316   0.0000307
  1.82  -0.0485669   0.3057637  -0.0402106   0.1848681   0.0000204   0.0000370   0.0000372
  1.85  -0.0219947   0.3076158  -0.0460868   0.2057763   0.0000182   0.0000381   0.0000302
  1.88  -0.0035860   0.3120345  -0.0470589   0.2213186   0.0000153   0.0000348   0.0000291
  1.92   0.0217042   0.3119146  -0.0531770   0.2401382   0.0000140   0.0000301   0.0000316
  1.95   0.0425513   0.3100658  -0.0533110   0.2528484   0.0000129   0.0000346   0.0000344
  1.98   0.0657105   0.3073808  -0.0575196   0.2679007   0.0000121   0.0000299   0.0000302
  2.01   0.0809493   0.3092253  -0.0590517   0.2798003   0.0000110   0.0000299   0.0000399
  2.04   0.0998171   0.3070000  -0.0624549   0.2920297   0.0000100   0.0000371   0.0000345
  2.07   0.1151622   0.3033101  -0.0616229   0.2995225   0.0000091   0.0000361   0.0000303
  2.10   0.1298062   0.2987631  -0.0608954   0.3060114   0.0000096   0.0000335   0.0000356
  2.14   0.1420625   0.2961785  -0.0616839   0.3127220   0.0000092   0.0000300   0.0000303
  2.17   0.1603761   0.2872200  -0.0661127   0.3204350   0.0000090   0.0000311   0.0000340
  2.20   0.1706578   0.2819137  -0.0651086   0.3234173   0.0000090   0.0000345   0.0000312
  2.23   0.1830677   0.2737993  -0.0660780   0.3266040   0.0000087   0.0000315   0.0000299
  2.26   0.1893117   0.2681179  -0.0631101   0.3259898   0.0000081   0.0000277   0.0000314
  2.29   0.1990450   0.2591286  -0.0643625   0.3269032   0.0000083   0.0000299   0.0000343
  2.32   0.2050050   0.2512924  -0.0629283   0.3251743   0.0000078   0.0000303   0.0000315
  2.36   0.2100739   0.2422436  -0.0606438   0.3217596   0.0000080   0.0000281   0.0000286
  2.39   0.2136548   0.2349393  -0.0626752   0.3199545   0.0000080   0.0000278   0.0000301
  2.42   0.2170230   0.2246426  -0.0604660   0.3145991   0.0000092   0.0000339   0.0000309
  2.45   0.2168066   0.2167714  -0.0578735   0.3083432   0.0000101   0.0000305   0.0000291
  2.48   0.2184683   0.2055488  -0.0562232   0.3014191   0.0000103   0.0000277   0.0000297
  2.51   0.2200961   0.1928390  -0.0544021   0.2934240   0.0000110   0.0000277   0.0000394
  2.54   0.2171511   0.1837047  -0.0530931   0.2849349   0.0000119   0.0000295   0.0000291
  2.58   0.2121725   0.1753320  -0.0523608   0.2757899   0.0000124   0.0000317   0.0000352
  2.61   0.2065291   0.1662457  -0.0491766   0.2649087   0.0000130   0.0000297   0.0000270
