site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000  -0.4616695   0.8862528   0.0376466
  2   0.8660254  -1.5000000  -0.4733247   0.8697769  -0.1394698
  3   2.5980762  -0.5000000  -0.3924977   0.9163242  -0.0793441
  4   2.5980762  -1.5000000  -0.3741175   0.9273748  -0.0034896
  5   4.3301270  -0.5000000  -0.3409793   0.9394077   0.0353037
  6   4.3301270  -1.5000000  -0.4167406   0.8992526  -0.1329361
  7   6.0621778  -0.5000000  -0.3086272   0.9462042  -0.0971951
  8   6.0621778  -1.5000000  -0.3943081   0.9046101  -0.1618697
  9   7.7942286  -0.5000000  -0.4337808   0.8853760  -0.1671634
 10   7.7942286  -1.5000000  -0.3138725   0.9419806  -0.1189819
 11   9.5262794  -0.5000000  -0.4127081   0.9082802   0.0685500
 12   9.5262794  -1.5000000  -0.4747683   0.8797995   0.0234070
 13  11.2583302  -0.5000000  -0.4140252   0.9038721  -0.1076958
 14  11.2583302  -1.5000000  -0.4078659   0.9121892  -0.0394500
 15  12.9903811  -0.5000000  -0.2306001   0.9662134  -0.1151314
 16  12.9903811  -1.5000000  -0.3794099   0.9111757  -0.1606457
 17  14.7224319  -0.5000000  -0.4215137   0.9065093   0.0238160
 18  14.7224319  -1.5000000  -0.3363903   0.9413940  -0.0248783
 19  16.4544827  -0.5000000  -0.3469456   0.9372544   0.0343925
 20  -0.8660254  -1.5000000  -0.4763708   0.8582234  -0.1911111
 21  -0.0000000  -2.0000000  -0.3043435   0.9515424  -0.0440699
 22  -0.0000000  -3.0000000  -0.3505292   0.9242764  -0.1511370
 23   1.7320508  -2.0000000  -0.0588351   0.9803944  -0.1880567
 24   1.7320508  -3.0000000  -0.1107082   0.9162358  -0.3850398
 25   3.4641016  -2.0000000  -0.3301309   0.9350199   0.1294270
 26   3.4641016  -3.0000000  -0.5007703   0.8607243   0.0915579
 27   5.1961524  -2.0000000  -0.0343815   0.9792093  -0.1999175
 28   5.1961524  -3.0000000  -0.1488530   0.9386175  -0.3111914
 29   6.9282032  -2.0000000  -0.5022133   0.8635271  -0.0458555
 30   6.9282032  -3.0000000  -0.5427621   0.8219083  -0.1728468
 31   8.6602540  -2.0000000  -0.4055903   0.9138803   0.0178679
 32   8.6602540  -3.0000000  -0.4816456   0.8669083   0.1284036
 33  10.3923048  -2.0000000  -0.5875230   0.7984682   0.1313974
 34  10.3923048  -3.0000000  -0.4586203   0.8886173   0.0051673
 35  12.1243557  -2.0000000  -0.3782944   0.9253905   0.0233603
 36  12.1243557  -3.0000000  -0.3794216   0.9111474  -0.1607786
 37  13.8564065  -2.0000000  -0.4714694   0.8818783  -0.0026899
 38  13.8564065  -3.0000000  -0.3562147   0.9172503  -0.1782218
 39  15.5884573  -2.0000000  -0.3533173   0.9348921  -0.0338169
 40  -1.7320508  -3.0000000  -0.4123927   0.9062077   0.0933805
 41  -0.8660254  -3.5000000  -0.3304512   0.9418277   0.0613390
 42  -0.8660254  -4.5000000  -0.4616937   0.8868593  -0.0178740
 43   0.8660254  -3.5000000  -0.3586997   0.9228346  -0.1403954
 44   0.8660254  -4.5000000  -0.4613445   0.8654865  -0.1951778
 45   2.5980762  -3.5000000  -0.5274389   0.8110469  -0.2530041
 46   2.5980762  -4.5000000  -0.4285288   0.8940577  -0.1304753
 47   4.3301270  -3.5000000  -0.2690844   0.9590443   0.0884737
 48   4.3301270  -4.5000000  -0.4142052   0.9094502  -0.0365285
 49   6.0621778  -3.5000000  -0.3468483   0.9379211  -0.0005498
 50   6.0621778  -4.5000000  -0.3868056   0.9102531  -0.1477187
 51   7.7942286  -3.5000000  -0.4346183   0.8964029   0.0869983
 52   7.7942286  -4.5000000  -0.5131791   0.8499193  -0.1195176
 53   9.5262794  -3.5000000  -0.4562457   0.8894822   0.0257175
 54   9.5262794  -4.5000000  -0.3018527   0.9456295  -0.1211189
 55  11.2583302  -3.5000000  -0.4626200   0.8839903  -0.0674086
 56  11.2583302  -4.5000000  -0.4679380   0.8827588  -0.0420821
 57  12.9903811  -3.5000000  -0.2942256   0.9494672   0.1092858
 58  12.9903811  -4.5000000  -0.4005752   0.9155847   0.0352726
 59  14.7224319  -3.5000000  -0.4144952   0.9094275  -0.0336965
 60  -2.5980762  -4.5000000  -0.6016923   0.7965152  -0.0594127
 61  -1.7320508  -5.0000000  -0.4554186   0.8890244  -0.0472178
 62  -1.7320508  -6.0000000  -0.4477298   0.8905733  -0.0801080
 63  -0.0000000  -5.0000000  -0.3098194   0.9504555   0.0254236
 64  -0.0000000  -6.0000000  -0.3225963   0.9444846  -0.0622931
 65   1.7320508  -5.0000000  -0.4038537   0.9125251  -0.0648080
 66   1.7320508  -6.0000000  -0.2791995   0.9570680  -0.0779009
 67   3.4641016  -5.0000000  -0.5333330   0.8459029   0.0020460
 68   3.4641016  -6.0000000  -0.4848783   0.8715966  -0.0721967
 69   5.1961524  -5.0000000  -0.2261857   0.9707832  -0.0801253
 70   5.1961524  -6.0000000  -0.3989704   0.9100518  -0.1123758
 71   6.9282032  -5.0000000  -0.3074480   0.9500592  -0.0535097
 72   6.9282032  -6.0000000  -0.3525578   0.9337842  -0.0612383
 73   8.6602540  -5.0000000  -0.4091094   0.9121947  -0.0230280
 74   8.6602540  -6.0000000  -0.3686138   0.9275824  -0.0609485
 75  10.3923048  -5.0000000  -0.3356048   0.9210957  -0.1973630
 76  10.3923048  -6.0000000  -0.2254713   0.9539344  -0.1979189
 77  12.1243557  -5.0000000  -0.4131220   0.8987340   0.1469945
 78  12.1243557  -6.0000000  -0.3678904   0.9216217  -0.1235722
 79  13.8564065  -5.0000000  -0.5451753   0.8278130   0.1323235
 80  -3.4641016  -6.0000000  -0.4872593   0.8732214   0.0079280
