site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000  -0.6121135   0.7895510   0.0438891
  2   0.8660254  -1.5000000  -0.6692447   0.7425694   0.0264999
  3   2.5980762  -0.5000000  -0.6425051   0.7508009   0.1532485
  4   2.5980762  -1.5000000  -0.7379182   0.6732138   0.0475379
  5   4.3301270  -0.5000000  -0.7596222   0.6468264   0.0677473
  6   4.3301270  -1.5000000  -0.5765848   0.8168398   0.0179630
  7   6.0621778  -0.5000000  -0.6874807   0.7256864   0.0273770
  8   6.0621778  -1.5000000  -0.7530229   0.6578528   0.0136469
  9   7.7942286  -0.5000000  -0.6785650   0.7345396   0.0010733
 10   7.7942286  -1.5000000  -0.7621437   0.6419938   0.0835516
 11   9.5262794  -0.5000000  -0.7299655   0.6819352   0.0459856
 12   9.5262794  -1.5000000  -0.7229032   0.6751528   0.1469003
 13  11.2583302  -0.5000000  -0.8152522   0.5691516   0.1069127
 14  11.2583302  -1.5000000  -0.6444934   0.7645987  -0.0041449
 15  12.9903811  -0.5000000  -0.6993417   0.7118579   0.0646493
 16  12.9903811  -1.5000000  -0.7471869   0.6614327  -0.0649497
 17  14.7224319  -0.5000000  -0.6044930   0.7958212  -0.0354511
 18  14.7224319  -1.5000000  -0.6629654   0.7483797   0.0201156
 19  16.4544827  -0.5000000  -0.6664303   0.7439124  -0.0496480
 20  -0.8660254  -1.5000000  -0.5971299   0.7992693   0.0678570
 21  -0.0000000  -2.0000000  -0.6022501   0.7980614  -0.0198192
 22  -0.0000000  -3.0000000  -0.6043411   0.7895765  -0.1064928
 23   1.7320508  -2.0000000  -0.7376430   0.6538502  -0.1684123
 24   1.7320508  -3.0000000  -0.5887748   0.8081576  -0.0150151
 25   3.4641016  -2.0000000  -0.5938939   0.8045328  -0.0041315
 26   3.4641016  -3.0000000  -0.6872020   0.7256521  -0.0343874
 27   5.1961524  -2.0000000  -0.6248904   0.7806323   0.0111859
 28   5.1961524  -3.0000000  -0.7497475   0.6468299  -0.1396057
 29   6.9282032  -2.0000000  -0.7448712   0.6671928  -0.0045478
 30   6.9282032  -3.0000000  -0.7136504   0.6998057   0.0312267
 31   8.6602540  -2.0000000  -0.7710312   0.6255623   0.1190907
 32   8.6602540  -3.0000000  -0.6696374   0.7399527   0.0636845
 33  10.3923048  -2.0000000  -0.6671652   0.7448682   0.0078752
 34  10.3923048  -3.0000000  -0.6684045   0.7437892  -0.0036244
 35  12.1243557  -2.0000000  -0.5945676   0.7997031   0.0834530
 36  12.1243557  -3.0000000  -0.6263230   0.7650566   0.1496927
 37  13.8564065  -2.0000000  -0.7319504   0.6727002  -0.1082728
 38  13.8564065  -3.0000000  -0.7432387   0.6668317  -0.0541459
 39  15.5884573  -2.0000000  -0.7033199   0.7086768   0.0558429
 40  -1.7320508  -3.0000000  -0.6654745   0.7463951  -0.0061627
 41  -0.8660254  -3.5000000  -0.7030770   0.6986468  -0.1325723
 42  -0.8660254  -4.5000000  -0.7123239   0.6992925   0.0598725
 43   0.8660254  -3.5000000  -0.6500921   0.7580979  -0.0516518
 44   0.8660254  -4.5000000  -0.6351408   0.7701815   0.0584511
 45   2.5980762  -3.5000000  -0.6416388   0.7663773   0.0310729
 46   2.5980762  -4.5000000  -0.6288528   0.7761996  -0.0453688
 47   4.3301270  -3.5000000  -0.7059750   0.6998488  -0.1086783
 48   4.3301270  -4.5000000  -0.7052145   0.7089529  -0.0076325
 49   6.0621778  -3.5000000  -0.6402330   0.7674785  -0.0328397
 50   6.0621778  -4.5000000  -0.7072093   0.6998339   0.1004372
 51   7.7942286  -3.5000000  -0.7295671   0.6839057   0.0022111
 52   7.7942286  -4.5000000  -0.7650450   0.6349940  -0.1071857
 53   9.5262794  -3.5000000  -0.7404153   0.6720321  -0.0125679
 54   9.5262794  -4.5000000  -0.7652802   0.6436889   0.0032845
 55  11.2583302  -3.5000000  -0.6642576   0.7463681  -0.0411883
 56  11.2583302  -4.5000000  -0.6802098   0.7290847  -0.0758295
 57  12.9903811  -3.5000000  -0.6787920   0.7327638   0.0479441
 58  12.9903811  -4.5000000  -0.7123239   0.7010341   0.0338512
 59  14.7224319  -3.5000000  -0.6576211   0.7533326   0.0049361
 60  -2.5980762  -4.5000000  -0.6701442   0.7404304  -0.0516668
 61  -1.7320508  -5.0000000  -0.6473547   0.7610158   0.0422704
 62  -1.7320508  -6.0000000  -0.6765622   0.7353947   0.0381856
 63  -0.0000000  -5.0000000  -0.6974295   0.7161035   0.0280685
 64  -0.0000000  -6.0000000  -0.7422885   0.6700406   0.0073083
 65   1.7320508  -5.0000000  -0.7065292   0.7074034   0.0199223
 66   1.7320508  -6.0000000  -0.7396891   0.6433126  -0.1975066
 67   3.4641016  -5.0000000  -0.7150235   0.6990247  -0.0102890
 68   3.4641016  -6.0000000  -0.6811316   0.7141475   0.1614100
 69   5.1961524  -5.0000000  -0.6923341   0.7184504  -0.0671013
 70   5.1961524  -6.0000000  -0.6882810   0.6947866  -0.2086645
 71   6.9282032  -5.0000000  -0.7145416   0.6974830   0.0542938
 72   6.9282032  -6.0000000  -0.7488910   0.6617988  -0.0344183
 73   8.6602540  -5.0000000  -0.6633894   0.7447626  -0.0724104
 74   8.6602540  -6.0000000  -0.6515764   0.7470730   0.1316439
 75  10.3923048  -5.0000000  -0.6948803   0.7088129  -0.1213493
 76  10.3923048  -6.0000000  -0.6918179   0.7220506  -0.0055628
 77  12.1243557  -5.0000000  -0.7798538   0.6259190  -0.0073055
 78  12.1243557  -6.0000000  -0.6982444   0.7152205  -0.0302405
