theta 	 taux 	 tauy 	  tauz  	 tau_perp 	  mx error	 my error 	 mz error
0.0000  -0.0872220   0.0872220   0.1326563  -0.0442188   0.0000558   0.0000334   0.0000682
0.0314  -0.0865016   0.0742723   0.1405105  -0.0549897   0.0000576   0.0000327   0.0000713
0.0628  -0.0872764   0.0628711   0.1501055  -0.0663053   0.0000579   0.0000332   0.0000709
0.0942  -0.0888073   0.0521862   0.1593638  -0.0775354   0.0000579   0.0000336   0.0000713
0.1257  -0.0877301   0.0391957   0.1665485  -0.0878724   0.0000587   0.0000326   0.0000725
0.1571  -0.0874181   0.0270911   0.1739032  -0.0981857   0.0000575   0.0000322   0.0000699
0.1885  -0.0875498   0.0155667   0.1815546  -0.1085070   0.0000588   0.0000310   0.0000717
0.2199  -0.0878406   0.0042485   0.1886414  -0.1186085   0.0000554   0.0000330   0.0000674
0.2513  -0.0872128  -0.0074846   0.1945934  -0.1279960   0.0000572   0.0000319   0.0000696
0.2827  -0.0883833  -0.0176077   0.2021982  -0.1380601   0.0000606   0.0000318   0.0000732
0.3142  -0.0873869  -0.0291477   0.2062589  -0.1464426   0.0000615   0.0000332   0.0000749
0.3456  -0.0875234  -0.0394214   0.2118842  -0.1552579   0.0000603   0.0000332   0.0000729
0.3770  -0.0878459  -0.0493212   0.2166923  -0.1636755   0.0000618   0.0000324   0.0000744
0.4084  -0.0876395  -0.0589889   0.2202253  -0.1711607   0.0000613   0.0000329   0.0000740
0.4398  -0.0887564  -0.0677469   0.2251182  -0.1793750   0.0000601   0.0000316   0.0000718
0.4712  -0.0895960  -0.0759872   0.2296505  -0.1869389   0.0000623   0.0000329   0.0000748
0.5027  -0.0887696  -0.0843365   0.2288314  -0.1916812   0.0000591   0.0000321   0.0000697
0.5341  -0.0910811  -0.0911649   0.2347048  -0.1997323   0.0000664   0.0000314   0.0000779
0.5655  -0.0922515  -0.0977522   0.2375937  -0.2058670   0.0000629   0.0000323   0.0000738
0.5969  -0.0937348  -0.1036015   0.2394039  -0.2113588   0.0000629   0.0000316   0.0000741
0.6283  -0.0949358  -0.1085604   0.2385444  -0.2151790   0.0000629   0.0000314   0.0000735
0.6597  -0.0970544  -0.1128533   0.2400290  -0.2199481   0.0000617   0.0000322   0.0000718
0.6912  -0.0997527  -0.1165119   0.2418442  -0.2247911   0.0000643   0.0000325   0.0000749
0.7226  -0.1024455  -0.1191460   0.2416499  -0.2282776   0.0000657   0.0000312   0.0000754
0.7540  -0.1047974  -0.1200635   0.2384603  -0.2293940   0.0000635   0.0000318   0.0000721
0.7854  -0.1083455  -0.1213105   0.2395523  -0.2329547   0.0000685   0.0000312   0.0000779
0.8168  -0.1118672  -0.1210457   0.2381654  -0.2346638   0.0000699   0.0000310   0.0000790
0.8482  -0.1162107  -0.1197956   0.2364231  -0.2361453   0.0000673   0.0000305   0.0000754
0.8796  -0.1205686  -0.1174320   0.2341524  -0.2367178   0.0000677   0.0000308   0.0000750
0.9111  -0.1256425  -0.1133460   0.2302865  -0.2360879   0.0000696   0.0000303   0.0000761
0.9425  -0.1311649  -0.1090782   0.2278133  -0.2360998   0.0000732   0.0000306   0.0000787
0.9739  -0.1369994  -0.1031879   0.2240682  -0.2348143   0.0000650   0.0000300   0.0000695
1.0053  -0.1435327  -0.0965929   0.2207209  -0.2336574   0.0000793   0.0000309   0.0000842
1.0367  -0.1500475  -0.0882694   0.2160204  -0.2308848   0.0000719   0.0000298   0.0000755
1.0681  -0.1575172  -0.0788776   0.2113304  -0.2280400   0.0000763   0.0000312   0.0000792
1.0996  -0.1653854  -0.0687853   0.2069527  -0.2250981   0.0000738   0.0000301   0.0000757
1.1310  -0.1738383  -0.0552853   0.1994900  -0.2192457   0.0000792   0.0000312   0.0000795
1.1624  -0.1825530  -0.0432703   0.1950967  -0.2155811   0.0000840   0.0000300   0.0000828
1.1938  -0.1925932  -0.0265925   0.1867476  -0.2083730   0.0000765   0.0000300   0.0000743
1.2252  -0.2022581  -0.0122675   0.1819207  -0.2036574   0.0000792   0.0000299   0.0000756
1.2566  -0.2117855   0.0029772   0.1766991  -0.1981052   0.0000790   0.0000306   0.0000747
1.2881  -0.2224973   0.0207813   0.1701035  -0.1911785   0.0000803   0.0000304   0.0000738
1.3195  -0.2357460   0.0464424   0.1576161  -0.1787411   0.0000868   0.0000308   0.0000778
1.3509  -0.2456593   0.0622257   0.1542761  -0.1737145   0.0000889   0.0000311   0.0000783
1.3823  -0.2586800   0.0878338   0.1434952  -0.1617292   0.0000847   0.0000319   0.0000731
1.4137  -0.2720476   0.1131979   0.1341265  -0.1506086   0.0000886   0.0000320   0.0000749
1.4451  -0.2839008   0.1345524   0.1284451  -0.1423807   0.0000921   0.0000323   0.0000761
1.4765  -0.2963764   0.1582230   0.1215388  -0.1326152   0.0000912   0.0000323   0.0000736
1.5080  -0.3092739   0.1844292   0.1130925  -0.1209273   0.0000897   0.0000326   0.0000693
1.5394  -0.3248406   0.2187152   0.0997702  -0.1040070   0.0000930   0.0000335   0.0000707
1.5708  -0.3359826   0.2393526   0.0966300  -0.0966300   0.0000868   0.0000343   0.0000651
1.6022  -0.3490880   0.2671994   0.0887944  -0.0841906   0.0000922   0.0000350   0.0000654
1.6336  -0.3617525   0.2951169   0.0810951  -0.0714554   0.0000869   0.0000349   0.0000603
1.6650  -0.3746954   0.3240867   0.0732969  -0.0581714   0.0000856   0.0000359   0.0000574
1.6965  -0.3874352   0.3539585   0.0650839  -0.0440125   0.0000970   0.0000367   0.0000625
1.7279  -0.3999602   0.3859506   0.0553537  -0.0277910   0.0000916   0.0000384   0.0000573
1.7593  -0.4114117   0.4119240   0.0507133  -0.0165629   0.0000992   0.0000410   0.0000589
1.7907  -0.4211987   0.4369952   0.0456804  -0.0046958   0.0001002   0.0000417   0.0000574
1.8221  -0.4330805   0.4710020   0.0354499   0.0134643   0.0001056   0.0000442   0.0000589
1.8535  -0.4407716   0.4910493   0.0336033   0.0223174   0.0001009   0.0000460   0.0000521
1.8850  -0.3316815   0.4151934  -0.0084328   0.0584855   0.0000987   0.0001035   0.0001744
1.9164  -0.3015108   0.4006917  -0.0215790   0.0733136   0.0000838   0.0000594   0.0001010
1.9478  -0.1992668   0.3432902  -0.0681818   0.1187429   0.0000690   0.0000334   0.0000614
1.9792  -0.1127680   0.2878669  -0.1015777   0.1505918   0.0000652   0.0000781   0.0001708
2.0106  -0.0910063   0.2756129  -0.1078318   0.1590149   0.0000598   0.0000304   0.0000677
2.0420  -0.0968970   0.2829594  -0.1031893   0.1584380   0.0000638   0.0000303   0.0000733
2.0735  -0.1029618   0.2899476  -0.0978987   0.1572901   0.0000566   0.0000305   0.0000644
2.1049  -0.1071153   0.2935067  -0.0916904   0.1548244   0.0000574   0.0000306   0.0000651
2.1363  -0.1145505   0.3017893  -0.0859136   0.1534638   0.0000556   0.0000308   0.0000636
2.1677  -0.1177778   0.3044308  -0.0802260   0.1511773   0.0000600   0.0000308   0.0000679
2.1991  -0.1241170   0.3100255  -0.0731749   0.1483307   0.0000634   0.0000307   0.0000711
2.2305  -0.1274216   0.3114896  -0.0666142   0.1449167   0.0000628   0.0000316   0.0000708
2.2619  -0.1309292   0.3133166  -0.0598373   0.1415374   0.0000614   0.0000321   0.0000692
2.2934  -0.1368079   0.3176874  -0.0525958   0.1381182   0.0000613   0.0000318   0.0000681
2.3248  -0.1415348   0.3205448  -0.0452652   0.1344284   0.0000608   0.0000323   0.0000677
2.3562  -0.1456200   0.3215867  -0.0372713   0.1297349   0.0000603   0.0000321   0.0000664
2.3876  -0.1480865   0.3206198  -0.0298925   0.1249864   0.0000594   0.0000323   0.0000654
2.4190  -0.1524337   0.3222861  -0.0222292   0.1206447   0.0000606   0.0000332   0.0000671
2.4504  -0.1549581   0.3207012  -0.0141619   0.1152160   0.0000604   0.0000325   0.0000660
2.4819  -0.1570356   0.3177068  -0.0055444   0.1089623   0.0000603   0.0000332   0.0000646
2.5133  -0.1589757   0.3149773   0.0022336   0.1032565   0.0000620   0.0000330   0.0000666
2.5447  -0.1611713   0.3122956   0.0103583   0.0972968   0.0000616   0.0000336   0.0000662
2.5761  -0.1634198   0.3091871   0.0189828   0.0908506   0.0000619   0.0000332   0.0000671
2.6075  -0.1647453   0.3042692   0.0276101   0.0838126   0.0000617   0.0000331   0.0000663
2.6389  -0.1641323   0.2968556   0.0356623   0.0765947   0.0000648   0.0000336   0.0000688
2.6704  -0.1669675   0.2937495   0.0448059   0.0695861   0.0000614   0.0000340   0.0000655
2.7018  -0.1691820   0.2896535   0.0536240   0.0624397   0.0000639   0.0000337   0.0000673
2.7332  -0.1692927   0.2823042   0.0622538   0.0545898   0.0000620   0.0000352   0.0000642
2.7646  -0.1682510   0.2733864   0.0706223   0.0465495   0.0000636   0.0000345   0.0000671
2.7960  -0.1659643   0.2629826   0.0777132   0.0387745   0.0000599   0.0000339   0.0000625
2.8274  -0.1688865   0.2584948   0.0879558   0.0304203   0.0000661   0.0000351   0.0000681
2.8588  -0.1666254   0.2477069   0.0952453   0.0223059   0.0000610   0.0000351   0.0000644
2.8903  -0.1654084   0.2379142   0.1032628   0.0139163   0.0000637   0.0000352   0.0000674
2.9217  -0.1634528   0.2271234   0.1108232   0.0055060   0.0000647   0.0000352   0.0000666
2.9531  -0.1623415   0.2171978   0.1190777  -0.0031216   0.0000650   0.0000346   0.0000690
2.9845  -0.1609596   0.2070402   0.1267252  -0.0115213   0.0000626   0.0000347   0.0000651
3.0159  -0.1609916   0.1981346   0.1359297  -0.0205479   0.0000654   0.0000348   0.0000676
3.0473  -0.1567007   0.1844277   0.1411064  -0.0285507   0.0000659   0.0000355   0.0000677
3.0788  -0.1542952   0.1728184   0.1482201  -0.0370579   0.0000607   0.0000351   0.0000631
3.1102  -0.1492462   0.1584313   0.1531869  -0.0449389   0.0000637   0.0000355   0.0000664
3.1416  -0.1493637   0.1493637   0.1618690  -0.0539563   0.0000639   0.0000346   0.0000663
hmag =5.0000000	 beta = 1.0000000	 K =-60.0000000 	 G=30.0000000
system cooled once for theta equal to zero 
